Samples	SBS96A	SBS96B
AX4912_vs_AX4894	1651	261
AX4914_vs_AX4895	811	145
AX4915_vs_AX4895	1886	1586
AX4916_vs_AX4896	495	38
AX4918_vs_AX4897	2285	341
AX4921_vs_AX4898	1043	191
AX4922_vs_AX4899	82	4316
AX4923_vs_AX4906	2018	841
AX4924_vs_AX4901	202	7
AX4925_vs_AX4901	714	149
AX4926_vs_AX4904	174	7
AX4927_vs_AX4905	759	986
AX4928_vs_AQ5174	1424	251
AX4929_vs_AQ5174	241	17
AX4930_vs_AX4900	1056	50
AX4931_vs_AX4907	216	52
AX4932_vs_AX4908	835	16
AX4933_vs_AX4909	707	439
AX4934_vs_AX4909	438	93
AX4935_vs_AX4910	165	2448
AX4936_vs_AX4911	592	93
AX4937_vs_AX4894	1574	209
AX4938_vs_AX4896	213	38
AX4940_vs_AX4904	797	203
AX4942_vs_AX4898	1762	356
AX4943_vs_AX4898	1849	367
AX4944_vs_AX4897	2389	385
AX4945_vs_AX4898	661	170
AX4946_vs_AX4895	3920	936
AX4947_vs_AX4895	3824	839
AX4951_vs_AX4903	767	65
AX4958_vs_AQ5174	2630	615
AX4961_vs_AQ5174	2609	626
DIAF_vs_BLOOD	1453	856
HK_vs_BLOOD	18	0
LNMETA_vs_BLOOD	1620	1178
LN_vs_BLOOD	1606	272
OMEN_vs_BLOOD	1084	441
PABKLN-01A_vs_PABKLN-11A	696	114
PADWRZ-01A_vs_PADWRZ-10A	552	103
PADYZI-01A_vs_PADYZI-10A	1367	0
PAEHIP-01A_vs_PAEHIP-10A	270	20
PAJLWM-01A_vs_PAJLWM-11A	278	50
PAJMBW-01A_vs_PAJMBW-10A	502	87
PAJMRB-01A_vs_PAJMRB-11A	297	15
PAJNER-01A_vs_PAJNER-11A	219	22
PAJNFP-01A_vs_PAJNFP-11A	744	174
PAJNFZ-01A_vs_PAJNFZ-10A	564	27
PAKHTL-01A_vs_PAKHTL-11A	868	48
PAKLYZ-01A_vs_PAKLYZ-10A	980	326
PAKTCT-01A_vs_PAKTCT-11A	772	158
PARECB-01A_vs_PARECB-11A	258	39
PAREWI-01A_vs_PAREWI-11A	476	54
PARGRN-01A_vs_PARGRN-10A	496	57
PARIRN-01A_vs_PARIRN-10A	654	51
PARPFY-01A_vs_PARPFY-11A	539	85
PARRCL-01A_vs_PARRCL-11A	417	92
PARTKH-01A_vs_PARTKH-10A	461	77
PARUGK-01A_vs_PARUGK-10A	311	44
PARZBI-01A_vs_PARZBI-11A	532	55
PARZRH-01A_vs_PARZRH-10A	785	176
PASABD-01A_vs_PASABD-10A	393	46
PASADZ-01A_vs_PASADZ-10A	552	65
PASCDH-01A_vs_PASCDH-10A	515	61
PASDLA-01A_vs_PASDLA-11A	270	46
PASGCL-01A_vs_PASGCL-10A	449	64
PASRHU-01A_vs_PASRHU-10A	228	0
PASVDP-01A_vs_PASVDP-10A	323	96
PASWZZ-01A_vs_PASWZZ-10A	268	20
PASXNA-01A_vs_PASXNA-11A	448	62
PASYNF-01A_vs_PASYNF-10A	301	35
PASZYE-01A_vs_PASZYE-10A	454	37
PATAFT-01A_vs_PATAFT-10A	410	108
PATBLF-01A_vs_PATBLF-10A	632	93
PATDVL-01A_vs_PATDVL-10A	310	63
PATENH-01A_vs_PATENH-11A	673	52
PATFXW-01A_vs_PATFXW-10A	564	20
PATFZZ-01A_vs_PATFZZ-10A	571	106
PATXEE-01A_vs_PATXEE-10A	743	100
PATXKA-01A_vs_PATXKA-10A	358	84
PAUCGJ-01A_vs_PAUCGJ-10A	710	116
PAUDPV-01A_vs_PAUDPV-11A	263	23
PAUEKW-01A_vs_PAUEKW-10A	1173	132
PAUFVP-01A_vs_PAUFVP-11A	687	80
PAUGYZ-01A_vs_PAUGYZ-10A	460	72
PAUHAZ-01A_vs_PAUHAZ-10A	312	45
PAUNPA-01A_vs_PAUNPA-11A	660	101
PAVCKS-01A_vs_PAVCKS-11A	1015	131
PAVITI-01A_vs_PAVITI-10A	589	128
PAVYDM-01A_vs_PAVYDM-11A	397	83
PAVYKD-01A_vs_PAVYKD-10A	310	23
PAWDGA-01A_vs_PAWDGA-11A	675	117
PAWFBL-01A_vs_PAWFBL-11A	555	90
PAWFWK-01A_vs_PAWFWK-10A	363	45
SJBT030128_D1_vs_SJBT030128_G1	220	0
SJBT030255_D1_vs_SJBT030255_G1	986	263
SJBT030581_D1_vs_SJBT030581_G1	1013	76
SJBT030707_D2_vs_SJBT030707_G1	162	0
SJBT030896_D1_vs_SJBT030896_G1	0	1820
SJBT030997_D1_vs_SJBT030997_G1	451	56
SJBT031235_D1_vs_SJBT031235_G1	158	0
SJBT031605_D1_vs_SJBT031605_G1	2567	1075
SJBT031948_D2_vs_SJBT031948_G1	238	6908
SJBT032047_D1_vs_SJBT032047_G1	3	4
SJBT032346_D1_vs_SJBT032346_G1	692	0
SJBT032393_D1_vs_SJBT032393_G1	2385	0
SJBT032417_D2_vs_SJBT032417_G1	200	143
SJBT033133_D3_vs_SJBT033133_G1	7	2
SJBT033236_D2_vs_SJBT033236_G1	95	0
SJBT034089_D1_vs_SJBT034089_G1	81	0
SJBT034110_D2_vs_SJBT034110_G1	215	22
SJMRT014754_D1_vs_SJMRT014754_G1	791	599
SJMRT015723_D1_vs_SJMRT015723_G1	742	225
SJMRT063832_X1_vs_SJMRT063832_G1	11617	5960
