Samples	SBS96A	SBS96B
AX4912_vs_AX4894	3.45E+00	3.45E+00
AX4914_vs_AX4895	2.00E+00	2.00E+00
AX4915_vs_AX4895	8.33E+00	8.33E+00
AX4916_vs_AX4896	1.48E+00	1.48E+00
AX4918_vs_AX4897	3.58E+00	3.58E+00
AX4921_vs_AX4898	2.34E+00	2.34E+00
AX4922_vs_AX4899	1.51E+01	1.51E+01
AX4923_vs_AX4906	7.71E+00	7.71E+00
AX4924_vs_AX4901	9.11E-01	9.12E-01
AX4925_vs_AX4901	2.70E+00	2.70E+00
AX4926_vs_AX4904	4.87E-01	4.87E-01
AX4927_vs_AX4905	5.80E+00	5.80E+00
AX4928_vs_AQ5174	3.45E+00	3.45E+00
AX4929_vs_AQ5174	8.40E-01	8.40E-01
AX4930_vs_AX4900	2.08E+00	2.08E+00
AX4931_vs_AX4907	1.45E+00	1.45E+00
AX4932_vs_AX4908	2.00E+00	2.00E+00
AX4933_vs_AX4909	3.80E+00	3.80E+00
AX4934_vs_AX4909	1.52E+00	1.52E+00
AX4935_vs_AX4910	1.09E+01	1.09E+01
AX4936_vs_AX4911	2.10E+00	2.10E+00
AX4937_vs_AX4894	2.99E+00	2.99E+00
AX4938_vs_AX4896	1.09E+00	1.09E+00
AX4940_vs_AX4904	3.31E+00	3.31E+00
AX4942_vs_AX4898	4.20E+00	4.20E+00
AX4943_vs_AX4898	4.47E+00	4.47E+00
AX4944_vs_AX4897	4.03E+00	4.03E+00
AX4945_vs_AX4898	2.35E+00	2.35E+00
AX4946_vs_AX4895	6.79E+00	6.79E+00
AX4947_vs_AX4895	6.81E+00	6.81E+00
AX4951_vs_AX4903	2.00E+00	2.00E+00
AX4958_vs_AQ5174	5.76E+00	5.76E+00
AX4961_vs_AQ5174	6.16E+00	6.16E+00
DIAF_vs_BLOOD	5.93E+00	5.93E+00
HK_vs_BLOOD	1.27E-01	1.27E-01
LNMETA_vs_BLOOD	7.66E+00	7.66E+00
LN_vs_BLOOD	3.22E+00	3.22E+00
OMEN_vs_BLOOD	4.03E+00	4.03E+00
PABKLN-01A_vs_PABKLN-11A	2.05E+00	2.05E+00
PADWRZ-01A_vs_PADWRZ-10A	1.74E+00	1.74E+00
PADYZI-01A_vs_PADYZI-10A	1.36E+00	1.36E+00
PAEHIP-01A_vs_PAEHIP-10A	9.66E-01	9.66E-01
PAJLWM-01A_vs_PAJLWM-11A	1.43E+00	1.43E+00
PAJMBW-01A_vs_PAJMBW-10A	1.34E+00	1.34E+00
PAJMRB-01A_vs_PAJMRB-11A	9.45E-01	9.45E-01
PAJNER-01A_vs_PAJNER-11A	1.32E+00	1.32E+00
PAJNFP-01A_vs_PAJNFP-11A	2.29E+00	2.29E+00
PAJNFZ-01A_vs_PAJNFZ-10A	1.32E+00	1.32E+00
PAKHTL-01A_vs_PAKHTL-11A	1.61E+00	1.61E+00
