Samples	SBS96A	SBS96B	SBS96C
AX4912_vs_AX4894	867	834	211
AX4914_vs_AX4895	407	430	119
AX4915_vs_AX4895	1608	581	1283
AX4916_vs_AX4896	236	268	29
AX4918_vs_AX4897	1185	1183	258
AX4921_vs_AX4898	737	355	142
AX4922_vs_AX4899	526	177	3695
AX4923_vs_AX4906	1489	719	651
AX4924_vs_AX4901	32	169	8
AX4925_vs_AX4901	366	380	117
AX4926_vs_AX4904	23	150	8
AX4927_vs_AX4905	511	408	826
AX4928_vs_AQ5174	851	639	185
AX4929_vs_AQ5174	19	222	17
AX4930_vs_AX4900	626	448	32
AX4931_vs_AX4907	52	170	46
AX4932_vs_AX4908	171	649	31
AX4933_vs_AX4909	512	281	353
AX4934_vs_AX4909	200	253	78
AX4935_vs_AX4910	399	114	2100
AX4936_vs_AX4911	203	403	79
AX4937_vs_AX4894	964	662	157
AX4938_vs_AX4896	138	84	29
AX4940_vs_AX4904	533	314	153
AX4942_vs_AX4898	1715	178	225
AX4943_vs_AX4898	1853	136	227
AX4944_vs_AX4897	1265	1218	291
AX4945_vs_AX4898	510	191	130
AX4946_vs_AX4895	4416	0	440
AX4947_vs_AX4895	4276	0	387
AX4951_vs_AX4903	120	636	76
AX4958_vs_AQ5174	2883	0	362
AX4961_vs_AQ5174	2868	0	367
DIAF_vs_BLOOD	1047	569	693
HK_vs_BLOOD	0	18	0
LNMETA_vs_BLOOD	1124	712	962
LN_vs_BLOOD	407	1235	236
OMEN_vs_BLOOD	681	486	358
PABKLN-01A_vs_PABKLN-11A	300	419	91
PADWRZ-01A_vs_PADWRZ-10A	355	222	78
PADYZI-01A_vs_PADYZI-10A	0	1367	0
PAEHIP-01A_vs_PAEHIP-10A	91	178	21
PAJLWM-01A_vs_PAJLWM-11A	141	145	42
PAJMBW-01A_vs_PAJMBW-10A	81	435	73
PAJMRB-01A_vs_PAJMRB-11A	124	172	16
PAJNER-01A_vs_PAJNER-11A	114	110	17
PAJNFP-01A_vs_PAJNFP-11A	272	504	142
PAJNFZ-01A_vs_PAJNFZ-10A	167	397	27
PAKHTL-01A_vs_PAKHTL-11A	401	476	39
PAKLYZ-01A_vs_PAKLYZ-10A	1124	0	182
PAKTCT-01A_vs_PAKTCT-11A	557	256	117
PARECB-01A_vs_PARECB-11A	143	124	30
PAREWI-01A_vs_PAREWI-11A	206	280	44
PARGRN-01A_vs_PARGRN-10A	254	258	41
PARIRN-01A_vs_PARIRN-10A	302	359	44
PARPFY-01A_vs_PARPFY-11A	432	136	56
PARRCL-01A_vs_PARRCL-11A	170	261	78
PARTKH-01A_vs_PARTKH-10A	239	239	60
PARUGK-01A_vs_PARUGK-10A	146	172	37
PARZBI-01A_vs_PARZBI-11A	208	332	47
PARZRH-01A_vs_PARZRH-10A	769	75	117
PASABD-01A_vs_PASABD-10A	215	188	36
PASADZ-01A_vs_PASADZ-10A	283	286	48
PASCDH-01A_vs_PASCDH-10A	231	293	52
PASDLA-01A_vs_PASDLA-11A	157	123	36
PASGCL-01A_vs_PASGCL-10A	196	261	56
PASRHU-01A_vs_PASRHU-10A	74	154	0
PASVDP-01A_vs_PASVDP-10A	194	147	78
PASWZZ-01A_vs_PASWZZ-10A	94	176	18
PASXNA-01A_vs_PASXNA-11A	186	271	53
PASYNF-01A_vs_PASYNF-10A	124	180	32
PASZYE-01A_vs_PASZYE-10A	250	213	28
PATAFT-01A_vs_PATAFT-10A	280	156	82
PATBLF-01A_vs_PATBLF-10A	472	189	64
PATDVL-01A_vs_PATDVL-10A	180	142	51
PATENH-01A_vs_PATENH-11A	341	342	42
PATFXW-01A_vs_PATFXW-10A	214	351	19
PATFZZ-01A_vs_PATFZZ-10A	274	317	86
PATXEE-01A_vs_PATXEE-10A	524	247	72
PATXKA-01A_vs_PATXKA-10A	227	151	64
PAUCGJ-01A_vs_PAUCGJ-10A	563	189	74
PAUDPV-01A_vs_PAUDPV-11A	151	119	16
