Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1912	0.947	538.212	28.149%	83.394	32.134%	0.06244	0.874
AX4914_vs_AX4895	956	0.926	308.702	32.291%	49.571	37.765%	0.09729	0.827
AX4915_vs_AX4895	3472	0.96	770.365	22.188%	123.31	28.141%	0.03956	0.886
AX4916_vs_AX4896	533	0.826	269.242	50.514%	47.988	56.496%	0.23247	0.68
AX4918_vs_AX4897	2626	0.975	513.837	19.567%	77.097	22.422%	0.03118	0.939
AX4921_vs_AX4898	1234	0.949	331.929	26.899%	54.701	31.503%	0.07642	0.892
AX4922_vs_AX4899	4398	0.988	656.909	14.937%	113.778	15.273%	0.01813	0.982
AX4923_vs_AX4906	2859	0.948	792.648	27.725%	113.305	31.994%	0.06195	0.827
AX4924_vs_AX4901	209	0.54	226.166	108.213%	44.333	84.249%	0.92008	0.395
AX4925_vs_AX4901	863	0.889	328.18	38.028%	52.873	45.845%	0.13147	0.705
AX4926_vs_AX4904	181	0.509	211.123	116.643%	46.785	86.535%	1.11542	0.421
AX4927_vs_AX4905	1745	0.977	329.419	18.878%	49.357	21.322%	0.03812	0.943
AX4928_vs_AQ5174	1675	0.922	538.025	32.121%	81.388	38.898%	0.08866	0.751
AX4929_vs_AQ5174	258	0.584	257.402	99.768%	50.763	81.39%	0.77176	0.452
AX4930_vs_AX4900	1106	0.947	334.281	30.224%	54.289	32.215%	0.09945	0.903
AX4931_vs_AX4907	268	0.707	195.682	73.016%	32.157	70.782%	0.44883	0.464
AX4932_vs_AX4908	851	0.922	316.796	37.226%	53.766	39.03%	0.13425	0.868
AX4933_vs_AX4909	1146	0.883	518.494	45.244%	69.653	47.214%	0.18349	0.65
AX4934_vs_AX4909	531	0.836	276.798	52.128%	43.329	54.82%	0.23675	0.658
AX4935_vs_AX4910	2613	0.966	689.493	26.387%	125.081	26.496%	0.06657	0.95
AX4936_vs_AX4911	685	0.93	242.787	35.443%	34.866	36.774%	0.10275	0.84
AX4937_vs_AX4894	1783	0.947	526.131	29.508%	77.579	32.247%	0.06782	0.874
AX4938_vs_AX4896	251	0.922	107.658	42.892%	14.657	38.8%	0.18301	0.85
AX4940_vs_AX4904	1000	0.929	340.655	34.066%	46.276	37.772%	0.09428	0.766
AX4942_vs_AX4898	2118	0.967	454.693	21.468%	71.468	25.571%	0.0439	0.915
AX4943_vs_AX4898	2216	0.972	444.739	20.069%	69.013	23.529%	0.03859	0.93
AX4944_vs_AX4897	2774	0.971	543.64	19.598%	87.857	24.071%	0.03224	0.93
AX4945_vs_AX4898	831	0.962	224.132	26.971%	32.437	27.445%	0.06977	0.921
AX4946_vs_AX4895	4856	0.991	612.528	12.614%	90.23	13.274%	0.01466	0.982
AX4947_vs_AX4895	4663	0.988	659.482	14.143%	102.084	15.771%	0.0176	0.973
AX4951_vs_AX4903	832	0.932	340.269	40.898%	51.607	36.15%	0.15384	0.893
AX4958_vs_AQ5174	3245	0.979	567.735	17.496%	84.298	20.708%	0.02699	0.942
AX4961_vs_AQ5174	3235	0.982	557.918	17.246%	79.061	19.705%	0.02961	0.951
DIAF_vs_BLOOD	2309	0.967	509.35	22.059%	73.663	25.835%	0.04469	0.895
HK_vs_BLOOD	18	0.647	22.532	125.178%	4.468	76.626%	1.61543	0.597
LNMETA_vs_BLOOD	2798	0.969	611.582	21.858%	85.735	25.244%	0.04069	0.898
LN_vs_BLOOD	1878	0.946	481.016	25.613%	86.674	32.726%	0.05708	0.89
OMEN_vs_BLOOD	1525	0.97	354.29	23.232%	46.949	24.478%	0.04954	0.913
PABKLN-01A_vs_PABKLN-11A	810	0.943	246.907	30.482%	37.461	33.598%	0.08073	0.873
PADWRZ-01A_vs_PADWRZ-10A	655	0.955	195.474	29.843%	26.018	29.664%	0.08194	0.891
PADYZI-01A_vs_PADYZI-10A	1367	0.653	1078.424	78.89%	293.468	77.879%	0.47668	0.632
PAEHIP-01A_vs_PAEHIP-10A	290	0.944	115.86	39.952%	16.052	33.355%	0.16625	0.909
PAJLWM-01A_vs_PAJLWM-11A	328	0.929	135.926	41.441%	18.881	37.23%	0.17994	0.871
PAJMBW-01A_vs_PAJMBW-10A	589	0.83	333.586	56.636%	55.974	56.413%	0.24698	0.73
PAJMRB-01A_vs_PAJMRB-11A	312	0.893	167.983	53.841%	25.873	45.666%	0.26391	0.843
PAJNER-01A_vs_PAJNER-11A	241	0.899	108.873	45.176%	15.244	43.842%	0.21886	0.787
PAJNFP-01A_vs_PAJNFP-11A	918	0.923	337.543	36.769%	48.413	38.662%	0.11536	0.817
PAJNFZ-01A_vs_PAJNFZ-10A	591	0.959	190.013	32.151%	24.571	28.557%	0.10011	0.918
PAKHTL-01A_vs_PAKHTL-11A	916	0.948	256.818	28.037%	42.262	31.714%	0.08006	0.896
