NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	342.164	45.918	50.691	40.42	0.257	0.814	100000.0
2	352.933	46.559	54.259	41.784	0.249	0.811	50000.0
3	345.198	46.634	52.025	41.675	0.258	0.806	110000.0
4	343.254	46.518	50.82	40.969	0.257	0.81	60000.0
5	336.598	45.859	49.456	40.403	0.258	0.812	40000.0
6	339.054	46.155	50.127	41.006	0.257	0.806	70000.0
7	340.047	45.978	50.487	40.145	0.257	0.82	80000.0
8	336.05	45.887	49.623	40.527	0.262	0.811	50000.0
9	339.818	45.223	50.07	39.751	0.247	0.822	70000.0
10	344.435	46.241	50.493	40.241	0.262	0.82	110000.0
11	340.155	45.009	49.693	39.237	0.241	0.831	60000.0
12	357.565	45.914	54.946	40.833	0.244	0.817	70000.0
13	340.83	45.202	49.836	39.574	0.248	0.823	70000.0
14	341.642	45.583	51.404	40.765	0.256	0.812	60000.0
15	338.193	45.711	50.068	40.496	0.25	0.813	80000.0
16	356.092	46.865	54.844	42.032	0.251	0.81	20000.0
17	342.175	46.35	50.365	41.139	0.262	0.808	30000.0
18	339.578	46.101	50.271	40.834	0.251	0.813	60000.0
19	344.51	46.717	51.557	41.314	0.261	0.807	230000.0
20	341.301	45.246	50.535	39.553	0.247	0.825	80000.0
21	340.986	45.748	50.09	39.792	0.253	0.821	140000.0
22	337.203	44.72	49.616	39.187	0.242	0.83	60000.0
23	338.934	45.609	49.923	40.217	0.252	0.817	90000.0
24	343.281	45.573	50.396	39.656	0.248	0.825	70000.0
25	340.043	45.423	50.156	40.076	0.259	0.819	50000.0
26	336.57	45.878	49.884	40.473	0.256	0.811	80000.0
27	343.048	45.614	50.574	39.956	0.251	0.822	80000.0
28	344.501	45.803	50.789	39.923	0.244	0.827	40000.0
29	337.509	46.045	50.275	40.972	0.252	0.809	50000.0
30	341.207	45.82	50.738	40.451	0.248	0.817	70000.0
31	342.301	45.659	50.581	40.037	0.253	0.823	70000.0
32	340.438	45.774	49.983	39.731	0.251	0.823	60000.0
33	362.38	46.055	54.839	40.949	0.239	0.826	40000.0
34	355.7	46.85	55.086	42.042	0.254	0.812	90000.0
35	339.222	45.854	50.242	40.749	0.247	0.812	70000.0
36	343.982	45.734	50.933	40.112	0.256	0.818	30000.0
37	340.406	45.873	50.504	40.612	0.259	0.813	40000.0
38	342.807	46.196	50.758	40.313	0.26	0.815	30000.0
39	340.704	45.882	50.346	40.579	0.246	0.813	90000.0
40	356.444	46.363	54.705	41.272	0.244	0.816	60000.0
41	339.132	45.217	50.124	39.609	0.252	0.824	40000.0
42	342.481	46.084	50.664	40.175	0.257	0.821	100000.0
43	339.076	45.776	50.076	40.009	0.257	0.819	50000.0
44	358.864	45.616	55.237	40.303	0.244	0.821	100000.0
45	335.949	45.944	49.625	40.774	0.251	0.81	50000.0
46	341.314	45.19	49.992	39.592	0.246	0.826	60000.0
47	341.175	46.298	50.331	41.181	0.253	0.809	50000.0
48	341.439	45.433	49.988	39.845	0.255	0.82	60000.0
49	342.645	45.322	50.53	39.868	0.253	0.821	60000.0
50	336.25	45.546	49.839	40.148	0.238	0.82	60000.0
51	342.149	45.846	50.551	40.317	0.258	0.816	50000.0
52	342.486	45.877	50.542	39.992	0.259	0.821	60000.0
53	340.303	46.374	50.589	41.006	0.255	0.811	30000.0
54	340.023	45.296	50.624	39.882	0.241	0.825	70000.0
55	338.515	44.525	49.949	39.208	0.24	0.83	60000.0
56	342.2	46.646	50.722	41.58	0.253	0.802	100000.0
57	339.61	45.266	49.997	39.483	0.248	0.828	30000.0
58	340.925	46.371	50.321	41.19	0.254	0.808	120000.0
59	338.555	45.402	50.099	39.719	0.255	0.821	60000.0
60	343.721	45.993	50.669	40.789	0.249	0.812	60000.0
61	339.457	45.345	50.059	39.631	0.249	0.825	140000.0
62	357.557	46.842	54.824	41.945	0.247	0.808	120000.0
63	340.481	45.932	50.517	40.825	0.246	0.811	60000.0
64	340.551	45.739	50.447	40.356	0.253	0.817	80000.0
65	341.758	45.367	50.173	39.617	0.251	0.824	50000.0
66	339.896	45.889	50.254	40.742	0.246	0.814	70000.0
