Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
AX4912_vs_AX4894	509	512	129	465	246	51
AX4914_vs_AX4895	243	168	83	222	225	15
AX4915_vs_AX4895	990	671	1012	272	381	146
AX4916_vs_AX4896	146	32	10	96	232	17
AX4918_vs_AX4897	826	543	122	339	251	545
AX4921_vs_AX4898	479	201	92	244	195	23
AX4922_vs_AX4899	430	76	3353	124	290	125
AX4923_vs_AX4906	750	1012	381	120	451	145
AX4924_vs_AX4901	0	0	0	7	202	0
AX4925_vs_AX4901	187	208	60	88	287	33
AX4926_vs_AX4904	0	0	0	0	181	0
AX4927_vs_AX4905	277	387	660	100	254	67
AX4928_vs_AQ5174	394	723	51	177	294	36
AX4929_vs_AQ5174	0	8	0	0	245	5
AX4930_vs_AX4900	448	49	15	335	235	24
AX4931_vs_AX4907	4	61	25	27	151	0
AX4932_vs_AX4908	96	116	24	391	221	3
AX4933_vs_AX4909	188	563	208	37	150	0
AX4934_vs_AX4909	95	97	50	92	197	0
AX4935_vs_AX4910	281	109	1899	112	179	33
AX4936_vs_AX4911	130	106	50	129	183	87
AX4937_vs_AX4894	590	529	83	450	88	43
AX4938_vs_AX4896	106	17	26	74	10	18
AX4940_vs_AX4904	301	361	82	135	59	62
AX4942_vs_AX4898	1067	542	96	193	157	63
AX4943_vs_AX4898	1173	531	95	194	141	82
AX4944_vs_AX4897	908	589	151	378	133	615
AX4945_vs_AX4898	355	120	105	200	34	17
AX4946_vs_AX4895	3685	558	225	59	166	163
AX4947_vs_AX4895	3397	737	155	45	149	180
AX4951_vs_AX4903	53	236	70	421	40	12
AX4958_vs_AQ5174	1849	876	148	166	128	78
AX4961_vs_AQ5174	1871	841	157	156	137	73
DIAF_vs_BLOOD	573	741	502	257	160	76
HK_vs_BLOOD	0	0	0	12	6	0
LNMETA_vs_BLOOD	600	878	704	237	252	127
LN_vs_BLOOD	377	339	152	309	98	603
OMEN_vs_BLOOD	417	381	271	264	123	69
PABKLN-01A_vs_PABKLN-11A	225	169	52	121	44	199
PADWRZ-01A_vs_PADWRZ-10A	244	111	55	146	57	42
PADYZI-01A_vs_PADYZI-10A	0	0	0	0	0	1367
PAEHIP-01A_vs_PAEHIP-10A	78	0	23	131	33	25
PAJLWM-01A_vs_PAJLWM-11A	108	34	38	107	14	27
PAJMBW-01A_vs_PAJMBW-10A	124	57	42	32	23	311
PAJMRB-01A_vs_PAJMRB-11A	92	34	17	155	14	0
PAJNER-01A_vs_PAJNER-11A	71	61	8	66	28	7
PAJNFP-01A_vs_PAJNFP-11A	236	111	94	85	94	298
PAJNFZ-01A_vs_PAJNFZ-10A	132	113	10	167	42	127
PAKHTL-01A_vs_PAKHTL-11A	260	234	12	281	69	60
PAKLYZ-01A_vs_PAKLYZ-10A	1019	0	146	70	45	26
PAKTCT-01A_vs_PAKTCT-11A	356	210	78	192	67	27
PARECB-01A_vs_PARECB-11A	92	81	17	69	13	25
PAREWI-01A_vs_PAREWI-11A	144	111	22	106	46	101
PARGRN-01A_vs_PARGRN-10A	205	59	20	74	33	162
PARIRN-01A_vs_PARIRN-10A	206	111	34	264	73	17
PARPFY-01A_vs_PARPFY-11A	304	100	34	118	21	47
PARRCL-01A_vs_PARRCL-11A	134	66	63	123	38	85
PARTKH-01A_vs_PARTKH-10A	160	119	35	95	59	70
PARUGK-01A_vs_PARUGK-10A	102	71	30	123	12	17
PARZBI-01A_vs_PARZBI-11A	139	137	27	162	50	72
PARZRH-01A_vs_PARZRH-10A	589	0	93	155	33	91
PASABD-01A_vs_PASABD-10A	145	86	23	121	29	35
PASADZ-01A_vs_PASADZ-10A	202	112	22	104	67	110
PASCDH-01A_vs_PASCDH-10A	176	82	42	190	22	64
PASDLA-01A_vs_PASDLA-11A	114	40	29	87	22	24
PASGCL-01A_vs_PASGCL-10A	127	105	44	176	48	13
PASRHU-01A_vs_PASRHU-10A	66	0	4	132	10	16
PASVDP-01A_vs_PASVDP-10A	145	52	66	101	20	35
PASWZZ-01A_vs_PASWZZ-10A	70	42	12	93	35	36
PASXNA-01A_vs_PASXNA-11A	119	133	34	136	45	43
PASYNF-01A_vs_PASYNF-10A	100	20	33	142	21	20
PASZYE-01A_vs_PASZYE-10A	171	101	15	149	33	22
PATAFT-01A_vs_PATAFT-10A	165	158	47	60	49	39
PATBLF-01A_vs_PATBLF-10A	343	100	45	174	13	50
PATDVL-01A_vs_PATDVL-10A	133	51	41	96	19	33
PATENH-01A_vs_PATENH-11A	270	54	38	274	24	65
PATFXW-01A_vs_PATFXW-10A	171	69	12	209	41	82
PATFZZ-01A_vs_PATFZZ-10A	200	100	66	165	54	92
PATXEE-01A_vs_PATXEE-10A	388	102	56	241	19	37
PATXKA-01A_vs_PATXKA-10A	160	62	44	69	51	56
PAUCGJ-01A_vs_PAUCGJ-10A	402	124	34	77	31	158
PAUDPV-01A_vs_PAUDPV-11A	111	44	7	62	14	48
PAUEKW-01A_vs_PAUEKW-10A	231	312	105	531	97	29
PAUFVP-01A_vs_PAUFVP-11A	255	118	51	246	54	43
PAUGYZ-01A_vs_PAUGYZ-10A	296	0	43	143	36	14
PAUHAZ-01A_vs_PAUHAZ-10A	127	0	39	137	35	19
PAUNPA-01A_vs_PAUNPA-11A	472	0	54	198	28	9
PAVCKS-01A_vs_PAVCKS-11A	351	152	77	296	63	207
PAVITI-01A_vs_PAVITI-10A	267	89	85	189	38	49
PAVYDM-01A_vs_PAVYDM-11A	129	128	46	113	31	33
PAVYKD-01A_vs_PAVYKD-10A	104	58	9	95	32	35
PAWDGA-01A_vs_PAWDGA-11A	435	173	29	92	47	16
PAWFBL-01A_vs_PAWFBL-11A	388	24	41	130	40	22
PAWFWK-01A_vs_PAWFWK-10A	153	47	28	125	35	20
SJBT030128_D1_vs_SJBT030128_G1	102	0	0	106	10	2
SJBT030255_D1_vs_SJBT030255_G1	370	249	159	254	98	119
SJBT030581_D1_vs_SJBT030581_G1	320	85	89	567	24	4
SJBT030707_D2_vs_SJBT030707_G1	9	34	2	90	27	0
SJBT030896_D1_vs_SJBT030896_G1	0	25	1587	176	32	0
SJBT030997_D1_vs_SJBT030997_G1	152	106	32	145	13	59
