Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
AX4912_vs_AX4894	6.37E+00	6.09E+00	3.10E+00	5.62E+00	3.36E+00	1.57E+00
AX4914_vs_AX4895	3.48E+00	3.26E+00	1.74E+00	3.07E+00	2.43E+00	1.21E+00
AX4915_vs_AX4895	1.00E+01	8.27E+00	7.00E+00	5.12E+00	8.38E+00	2.35E+00
AX4916_vs_AX4896	2.15E+00	2.65E+00	1.05E+00	1.85E+00	3.18E+00	9.37E-01
AX4918_vs_AX4897	6.69E+00	7.19E+00	3.24E+00	4.98E+00	4.49E+00	3.78E+00
AX4921_vs_AX4898	4.00E+00	4.63E+00	2.19E+00	3.22E+00	3.39E+00	1.22E+00
AX4922_vs_AX4899	1.35E+01	5.65E+00	1.48E+01	6.87E+00	9.74E+00	2.30E+00
AX4923_vs_AX4906	1.08E+01	8.71E+00	5.87E+00	5.39E+00	1.06E+01	2.14E+00
AX4924_vs_AX4901	2.00E-01	1.91E+00	1.68E-01	6.00E-01	2.11E+00	2.99E-01
AX4925_vs_AX4901	3.37E+00	4.06E+00	2.32E+00	2.05E+00	3.08E+00	1.22E+00
AX4926_vs_AX4904	5.99E-01	1.69E+00	2.10E-01	1.79E-01	1.86E+00	0.00E+00
AX4927_vs_AX4905	4.78E+00	4.63E+00	4.82E+00	2.71E+00	3.30E+00	1.47E+00
AX4928_vs_AQ5174	6.46E+00	6.13E+00	2.88E+00	3.95E+00	5.43E+00	1.21E+00
AX4929_vs_AQ5174	8.12E-02	2.60E+00	3.43E-01	2.33E-01	2.66E+00	0.00E+00
AX4930_vs_AX4900	4.46E+00	3.27E+00	1.90E+00	3.61E+00	3.73E+00	9.03E-01
AX4931_vs_AX4907	8.66E-01	2.34E+00	1.09E+00	1.08E+00	1.91E+00	0.00E+00
AX4932_vs_AX4908	3.77E+00	3.41E+00	1.78E+00	3.18E+00	2.52E+00	5.90E-01
AX4933_vs_AX4909	4.70E+00	4.78E+00	2.98E+00	2.91E+00	3.46E+00	3.72E-01
AX4934_vs_AX4909	2.17E+00	3.09E+00	1.33E+00	1.96E+00	2.86E+00	0.00E+00
AX4935_vs_AX4910	9.81E+00	4.18E+00	8.31E+00	4.19E+00	5.61E+00	1.48E+00
AX4936_vs_AX4911	2.64E+00	3.32E+00	1.79E+00	2.08E+00	2.58E+00	1.68E+00
