Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
AX4912_vs_AX4894	308	187	647	101	92	326	49	202
AX4914_vs_AX4895	103	111	167	150	58	165	14	188
AX4915_vs_AX4895	299	375	457	1036	756	165	140	244
AX4916_vs_AX4896	25	102	23	81	5	79	16	202
AX4918_vs_AX4897	295	378	704	216	78	215	534	206
AX4921_vs_AX4898	122	288	378	0	73	173	21	179
AX4922_vs_AX4899	24	263	229	704	2827	92	112	147
AX4923_vs_AX4906	467	65	441	1221	211	27	139	288
AX4924_vs_AX4901	0	0	0	20	0	7	0	182
AX4925_vs_AX4901	134	74	147	130	40	59	31	248
AX4926_vs_AX4904	0	1	0	0	0	0	1	179
AX4927_vs_AX4905	323	191	149	185	555	78	62	202
AX4928_vs_AQ5174	534	171	141	429	8	133	32	227
AX4929_vs_AQ5174	14	0	2	0	2	1	5	234
AX4930_vs_AX4900	0	222	365	55	0	239	22	203
AX4931_vs_AX4907	58	9	0	24	21	25	0	131
AX4932_vs_AX4908	89	32	30	199	9	311	1	180
AX4933_vs_AX4909	326	0	232	348	143	1	0	96
AX4934_vs_AX4909	72	50	61	69	39	71	0	169
AX4935_vs_AX4910	0	19	798	0	1657	10	25	104
AX4936_vs_AX4911	82	81	72	64	39	102	84	161
AX4937_vs_AX4894	304	219	609	209	40	310	42	50
AX4938_vs_AX4896	11	65	20	59	17	57	17	5
AX4940_vs_AX4904	232	109	99	346	38	95	57	24
AX4942_vs_AX4898	433	724	460	122	56	132	57	134
AX4943_vs_AX4898	398	774	570	101	54	122	77	120
AX4944_vs_AX4897	337	432	793	161	104	241	605	101
AX4945_vs_AX4898	71	213	243	35	83	145	16	25
AX4946_vs_AX4895	504	2766	1017	97	137	16	152	167
AX4947_vs_AX4895	691	2597	943	0	89	13	168	162
AX4951_vs_AX4903	167	0	203	48	54	326	11	23
AX4958_vs_AQ5174	623	1139	375	823	39	114	70	62
AX4961_vs_AQ5174	571	1148	432	795	49	101	67	72
DIAF_vs_BLOOD	443	179	324	684	363	169	71	76
HK_vs_BLOOD	0	0	2	0	0	11	0	5
LNMETA_vs_BLOOD	448	72	408	979	505	134	121	131
LN_vs_BLOOD	231	169	203	304	106	230	578	57
OMEN_vs_BLOOD	222	172	211	396	194	191	65	74
PABKLN-01A_vs_PABKLN-11A	83	81	224	90	34	76	195	27
PADWRZ-01A_vs_PADWRZ-10A	106	173	50	88	39	117	39	43
PADYZI-01A_vs_PADYZI-10A	0	0	0	0	0	0	1367	0
PAEHIP-01A_vs_PAEHIP-10A	0	46	39	39	16	101	24	25
PAJLWM-01A_vs_PAJLWM-11A	25	68	56	31	29	82	26	11
PAJMBW-01A_vs_PAJMBW-10A	34	70	32	87	31	22	298	15
