Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
AX4912_vs_AX4894	7.22E+00	9.86E+00	1.04E+01	9.13E+00	3.24E+00	4.74E+00	1.53E+00	3.59E+00
AX4914_vs_AX4895	3.28E+00	3.40E+00	4.70E+00	4.56E+00	1.42E+00	2.69E+00	1.19E+00	2.52E+00
AX4915_vs_AX4895	8.54E+00	1.02E+01	1.32E+01	1.40E+01	1.18E+01	3.64E+00	2.63E+00	4.24E+00
AX4916_vs_AX4896	1.93E+00	2.25E+00	2.18E+00	2.95E+00	9.56E-01	1.78E+00	8.75E-01	2.28E+00
AX4918_vs_AX4897	9.49E+00	1.28E+01	1.41E+01	1.13E+01	3.34E+00	3.92E+00	3.54E+00	4.74E+00
AX4921_vs_AX4898	4.62E+00	8.19E+00	9.22E+00	2.49E+00	1.92E+00	2.92E+00	1.02E+00	2.75E+00
AX4922_vs_AX4899	3.05E+00	1.55E+01	3.68E+01	1.85E+01	3.09E+01	4.72E+00	2.62E+00	5.79E+00
AX4923_vs_AX4906	1.27E+01	1.42E+01	1.93E+01	1.36E+01	4.99E+00	3.77E+00	2.51E+00	4.81E+00
AX4924_vs_AX4901	2.34E-01	2.42E-01	2.02E-01	6.31E-02	1.43E-01	5.40E-01	2.78E-01	7.89E-01
AX4925_vs_AX4901	3.37E+00	3.47E+00	4.17E+00	4.35E+00	1.96E+00	1.63E+00	1.16E+00	2.66E+00
AX4926_vs_AX4904	0.00E+00	5.36E-01	6.31E-01	0.00E+00	2.33E-01	1.80E-01	0.00E+00	8.30E-01
AX4927_vs_AX4905	4.50E+00	5.30E+00	6.96E+00	7.31E+00	5.08E+00	2.31E+00	1.50E+00	2.87E+00
AX4928_vs_AQ5174	8.88E+00	8.34E+00	1.07E+01	9.43E+00	1.48E+00	3.21E+00	1.24E+00	2.95E+00
AX4929_vs_AQ5174	1.11E+00	6.00E-02	7.52E-01	5.26E-01	4.24E-01	2.15E-01	0.00E+00	1.44E+00
AX4930_vs_AX4900	1.64E+00	6.86E+00	7.56E+00	4.33E+00	1.59E+00	3.49E+00	8.72E-01	3.00E+00
AX4931_vs_AX4907	1.91E+00	8.96E-01	8.58E-01	1.63E+00	1.01E+00	9.27E-01	0.00E+00	1.62E+00
AX4932_vs_AX4908	3.55E+00	3.39E+00	3.99E+00	4.73E+00	1.15E+00	2.60E+00	5.99E-01	2.13E+00
AX4933_vs_AX4909	8.84E+00	2.83E+00	1.08E+01	1.37E+01	2.98E+00	4.84E-01	3.23E-01	2.80E+00
AX4934_vs_AX4909	2.55E+00	2.33E+00	3.01E+00	3.27E+00	1.26E+00	1.82E+00	0.00E+00	2.26E+00
AX4935_vs_AX4910	3.50E+00	1.29E+01	2.04E+01	3.07E+00	1.68E+01	3.86E+00	1.54E+00	4.48E+00
AX4936_vs_AX4911	3.18E+00	3.00E+00	3.30E+00	3.87E+00	1.60E+00	1.88E+00	1.64E+00	2.17E+00
AX4937_vs_AX4894	6.26E+00	9.05E+00	9.58E+00	1.03E+01	2.81E+00	4.49E+00	1.35E+00	2.98E+00
AX4938_vs_AX4896	1.03E+00	2.05E+00	1.68E+00	2.44E+00	8.41E-01	1.35E+00	7.81E-01	6.06E-01
AX4940_vs_AX4904	4.35E+00	4.99E+00	6.55E+00	5.17E+00	1.85E+00	2.33E+00	1.35E+00	1.80E+00
AX4942_vs_AX4898	7.87E+00	1.21E+01	1.38E+01	9.10E+00	3.49E+00	2.61E+00	1.67E+00	3.44E+00
AX4943_vs_AX4898	8.05E+00	1.41E+01	1.69E+01	9.29E+00	3.28E+00	3.09E+00	1.83E+00	3.88E+00
AX4944_vs_AX4897	9.87E+00	1.50E+01	1.42E+01	1.28E+01	3.86E+00	4.80E+00	4.89E+00	3.80E+00
AX4945_vs_AX4898	2.86E+00	6.44E+00	6.25E+00	2.83E+00	1.72E+00	2.84E+00	1.00E+00	1.58E+00
AX4946_vs_AX4895	1.26E+01	3.28E+01	4.54E+01	2.48E+01	7.94E+00	2.44E+00	2.43E+00	7.22E+00
AX4947_vs_AX4895	1.12E+01	3.23E+01	4.33E+01	2.20E+01	7.23E+00	2.09E+00	2.76E+00	7.50E+00
AX4951_vs_AX4903	4.42E+00	2.41E+00	5.21E+00	4.08E+00	1.68E+00	4.15E+00	7.29E-01	1.71E+00
AX4958_vs_AQ5174	8.80E+00	1.38E+01	1.50E+01	1.52E+01	3.89E+00	4.06E+00	2.17E+00	4.18E+00
AX4961_vs_AQ5174	9.92E+00	1.21E+01	1.56E+01	1.51E+01	4.00E+00	4.04E+00	2.10E+00	3.91E+00
DIAF_vs_BLOOD	7.84E+00	8.93E+00	1.23E+01	9.45E+00	5.70E+00	3.66E+00	1.96E+00	3.42E+00
HK_vs_BLOOD	9.52E-02	9.43E-02	1.58E-01	9.70E-02	1.03E-01	3.56E-01	0.00E+00	2.82E-01
