Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
AX4912_vs_AX4894	164	269	86	61	420	145	310	0	32	64
AX4914_vs_AX4895	57	54	82	34	97	100	133	113	0	16
AX4915_vs_AX4895	99	123	152	597	164	1526	148	0	90	90
AX4916_vs_AX4896	8	17	11	0	0	13	42	25	12	0
AX4918_vs_AX4897	40	805	138	65	391	0	158	266	422	49
AX4921_vs_AX4898	17	113	120	55	189	63	132	0	11	17
AX4922_vs_AX4899	0	0	227	2603	216	966	70	57	71	188
AX4923_vs_AX4906	321	233	46	149	206	959	0	394	93	162
AX4924_vs_AX4901	0	0	0	0	0	0	5	21	0	183
AX4925_vs_AX4901	33	34	26	1	28	6	26	0	5	15
AX4926_vs_AX4904	0	0	1	0	2	0	0	0	0	178
AX4927_vs_AX4905	49	125	85	204	80	136	52	0	29	12
AX4928_vs_AQ5174	209	597	69	0	0	373	66	0	15	28
AX4929_vs_AQ5174	9	22	0	0	0	0	0	0	2	225
AX4930_vs_AX4900	8	0	73	0	170	7	194	127	3	25
AX4931_vs_AX4907	64	0	10	17	0	5	19	27	0	126
AX4932_vs_AX4908	24	97	10	0	0	87	225	80	1	8
AX4933_vs_AX4909	20	7	29	9	32	11	58	8	6	9
AX4934_vs_AX4909	7	11	19	7	13	2	33	11	1	2
AX4935_vs_AX4910	0	0	39	6	572	113	13	0	22	3
AX4936_vs_AX4911	34	128	50	31	34	90	96	0	67	155
AX4937_vs_AX4894	200	220	117	39	375	162	294	14	24	67
AX4938_vs_AX4896	10	33	18	5	3	0	40	36	10	3
AX4940_vs_AX4904	114	68	55	23	56	267	57	165	39	27
AX4942_vs_AX4898	181	585	510	29	283	165	113	0	44	101
AX4943_vs_AX4898	144	668	538	38	356	158	97	0	59	89
AX4944_vs_AX4897	107	708	68	71	347	0	157	231	410	54
AX4945_vs_AX4898	25	106	150	74	190	86	142	0	11	20
AX4946_vs_AX4895	229	841	1993	119	793	0	0	158	102	164
AX4947_vs_AX4895	336	892	1952	86	698	0	7	57	116	149
AX4951_vs_AX4903	21	50	0	4	0	0	70	0	4	3
AX4958_vs_AQ5174	171	974	741	0	107	712	93	65	48	32
AX4961_vs_AQ5174	169	966	773	8	129	586	64	188	40	60
DIAF_vs_BLOOD	167	169	90	166	84	23	108	343	32	62
HK_vs_BLOOD	0	0	0	0	2	0	10	0	0	6
LNMETA_vs_BLOOD	105	124	70	67	76	0	108	252	27	38
LN_vs_BLOOD	66	64	8	35	43	0	88	224	23	11
OMEN_vs_BLOOD	75	127	71	62	73	0	119	275	28	37
PABKLN-01A_vs_PABKLN-11A	72	87	33	32	169	0	47	184	153	33
PADWRZ-01A_vs_PADWRZ-10A	106	0	115	30	45	72	104	76	28	45
PADYZI-01A_vs_PADYZI-10A	0	0	0	0	0	0	0	0	1152	0
PAEHIP-01A_vs_PAEHIP-10A	0	0	9	4	29	13	86	17	6	16
PAJLWM-01A_vs_PAJLWM-11A	20	0	53	17	31	0	65	40	17	15
PAJMBW-01A_vs_PAJMBW-10A	63	0	66	25	27	44	12	88	245	19
PAJMRB-01A_vs_PAJMRB-11A	24	0	43	7	72	38	116	0	0	12
PAJNER-01A_vs_PAJNER-11A	24	34	3	0	41	6	34	78	3	18
PAJNFP-01A_vs_PAJNFP-11A	16	124	46	51	35	0	28	191	136	55
PAJNFZ-01A_vs_PAJNFZ-10A	77	71	60	0	32	43	120	58	98	32
PAKHTL-01A_vs_PAKHTL-11A	130	82	78	9	240	0	189	32	31	59
PAKLYZ-01A_vs_PAKLYZ-10A	0	6	502	50	0	210	0	342	7	14
PAKTCT-01A_vs_PAKTCT-11A	63	103	86	26	91	151	102	226	10	30
PARECB-01A_vs_PARECB-11A	64	0	14	1	42	0	27	108	18	2
PAREWI-01A_vs_PAREWI-11A	14	29	0	10	65	0	58	85	49	37
PARGRN-01A_vs_PARGRN-10A	25	0	16	0	57	29	49	84	30	14
PARIRN-01A_vs_PARIRN-10A	0	0	0	0	135	116	146	206	0	39
PARPFY-01A_vs_PARPFY-11A	19	100	81	0	52	79	77	70	20	0
PARRCL-01A_vs_PARRCL-11A	54	5	55	40	50	33	78	106	62	26
PARTKH-01A_vs_PARTKH-10A	60	63	31	6	10	28	37	220	46	37
PARUGK-01A_vs_PARUGK-10A	17	64	2	18	81	1	73	85	10	4
PARZBI-01A_vs_PARZBI-11A	59	76	19	7	73	75	102	93	52	31
PARZRH-01A_vs_PARZRH-10A	0	8	322	61	196	28	96	124	68	27
PASABD-01A_vs_PASABD-10A	2	50	12	13	65	45	59	38	22	12
PASADZ-01A_vs_PASADZ-10A	41	96	62	3	35	12	53	164	79	47
PASCDH-01A_vs_PASCDH-10A	30	24	20	9	36	44	65	0	10	3
PASDLA-01A_vs_PASDLA-11A	12	6	31	11	43	21	46	87	12	13
PASGCL-01A_vs_PASGCL-10A	37	53	26	30	129	61	126	0	10	41
PASRHU-01A_vs_PASRHU-10A	0	0	39	2	41	20	102	0	13	11
PASVDP-01A_vs_PASVDP-10A	56	26	82	44	5	0	67	52	25	8
PASWZZ-01A_vs_PASWZZ-10A	26	31	28	2	25	0	53	27	10	22
PASXNA-01A_vs_PASXNA-11A	35	131	1	7	0	69	79	125	28	21
PASYNF-01A_vs_PASYNF-10A	0	34	37	23	50	18	102	42	14	16
PASZYE-01A_vs_PASZYE-10A	64	58	80	2	65	20	102	62	14	24
PATAFT-01A_vs_PATAFT-10A	47	79	26	22	32	17	22	95	21	21
PATBLF-01A_vs_PATBLF-10A	79	27	199	24	131	73	130	11	37	14
PATDVL-01A_vs_PATDVL-10A	30	54	68	33	48	0	65	22	22	13
PATENH-01A_vs_PATENH-11A	0	15	85	22	206	63	184	36	36	14
PATFXW-01A_vs_PATFXW-10A	14	39	33	0	28	36	117	147	46	22
PATFZZ-01A_vs_PATFZZ-10A	0	101	6	15	16	59	65	228	47	17
PATXEE-01A_vs_PATXEE-10A	50	0	107	11	76	0	100	110	18	11
PATXKA-01A_vs_PATXKA-10A	15	65	67	26	47	55	43	43	42	39
PAUCGJ-01A_vs_PAUCGJ-10A	10	150	124	4	117	22	4	270	116	9
PAUDPV-01A_vs_PAUDPV-11A	0	15	0	0	74	35	23	102	35	2
PAUEKW-01A_vs_PAUEKW-10A	152	190	52	61	179	165	376	11	19	62
PAUFVP-01A_vs_PAUFVP-11A	0	168	27	24	79	0	134	227	25	20
PAUGYZ-01A_vs_PAUGYZ-10A	0	0	129	11	3	37	90	142	2	21
PAUHAZ-01A_vs_PAUHAZ-10A	0	3	20	12	30	60	80	25	10	19
PAUNPA-01A_vs_PAUNPA-11A	18	0	311	27	138	76	152	0	5	34
