Samples	SBS96A	SBS96B
AX4912_vs_AX4894	1382	169
AX4914_vs_AX4895	585	101
AX4915_vs_AX4895	1469	1520
AX4916_vs_AX4896	123	5
AX4918_vs_AX4897	1989	345
AX4921_vs_AX4898	599	118
AX4922_vs_AX4899	78	4320
AX4923_vs_AX4906	1756	807
AX4924_vs_AX4901	200	9
AX4925_vs_AX4901	158	16
AX4926_vs_AX4904	171	10
AX4927_vs_AX4905	378	394
AX4928_vs_AQ5174	1139	218
AX4929_vs_AQ5174	237	21
AX4930_vs_AX4900	607	0
AX4931_vs_AX4907	213	55
AX4932_vs_AX4908	530	2
AX4933_vs_AX4909	174	15
AX4934_vs_AX4909	94	12
AX4935_vs_AX4910	675	93
AX4936_vs_AX4911	579	106
AX4937_vs_AX4894	1361	151
AX4938_vs_AX4896	144	14
AX4940_vs_AX4904	678	193
AX4942_vs_AX4898	1691	320
AX4943_vs_AX4898	1793	354
AX4944_vs_AX4897	1821	332
AX4945_vs_AX4898	647	157
AX4946_vs_AX4895	3560	839
AX4947_vs_AX4895	3506	787
AX4951_vs_AX4903	152	0
AX4958_vs_AQ5174	2390	553
AX4961_vs_AQ5174	2418	565
DIAF_vs_BLOOD	860	384
HK_vs_BLOOD	18	0
LNMETA_vs_BLOOD	691	176
LN_vs_BLOOD	465	97
OMEN_vs_BLOOD	703	164
PABKLN-01A_vs_PABKLN-11A	674	136
PADWRZ-01A_vs_PADWRZ-10A	517	104
PADYZI-01A_vs_PADYZI-10A	972	180
PAEHIP-01A_vs_PAEHIP-10A	180	0
PAJLWM-01A_vs_PAJLWM-11A	224	34
PAJMBW-01A_vs_PAJMBW-10A	453	136
PAJMRB-01A_vs_PAJMRB-11A	300	12
PAJNER-01A_vs_PAJNER-11A	220	21
PAJNFP-01A_vs_PAJNFP-11A	519	163
PAJNFZ-01A_vs_PAJNFZ-10A	546	45
PAKHTL-01A_vs_PAKHTL-11A	807	43
PAKLYZ-01A_vs_PAKLYZ-10A	816	315
PAKTCT-01A_vs_PAKTCT-11A	740	148
PARECB-01A_vs_PARECB-11A	242	34
PAREWI-01A_vs_PAREWI-11A	313	34
PARGRN-01A_vs_PARGRN-10A	284	20
PARIRN-01A_vs_PARIRN-10A	602	40
PARPFY-01A_vs_PARPFY-11A	447	51
PARRCL-01A_vs_PARRCL-11A	407	102
PARTKH-01A_vs_PARTKH-10A	451	87
PARUGK-01A_vs_PARUGK-10A	314	41
PARZBI-01A_vs_PARZBI-11A	527	60
PARZRH-01A_vs_PARZRH-10A	754	176
PASABD-01A_vs_PASABD-10A	278	40
PASADZ-01A_vs_PASADZ-10A	519	73
PASCDH-01A_vs_PASCDH-10A	214	27
PASDLA-01A_vs_PASDLA-11A	241	41
PASGCL-01A_vs_PASGCL-10A	452	61
PASRHU-01A_vs_PASRHU-10A	228	0
PASVDP-01A_vs_PASVDP-10A	274	91
PASWZZ-01A_vs_PASWZZ-10A	211	13
PASXNA-01A_vs_PASXNA-11A	432	64
PASYNF-01A_vs_PASYNF-10A	299	37
PASZYE-01A_vs_PASZYE-10A	453	38
PATAFT-01A_vs_PATAFT-10A	297	85
PATBLF-01A_vs_PATBLF-10A	630	95
PATDVL-01A_vs_PATDVL-10A	290	65
PATENH-01A_vs_PATENH-11A	616	45
PATFXW-01A_vs_PATFXW-10A	456	26
PATFZZ-01A_vs_PATFZZ-10A	465	89
PATXEE-01A_vs_PATXEE-10A	437	46
PATXKA-01A_vs_PATXKA-10A	352	90
PAUCGJ-01A_vs_PAUCGJ-10A	692	134
PAUDPV-01A_vs_PAUDPV-11A	260	26
PAUEKW-01A_vs_PAUEKW-10A	1141	126
PAUFVP-01A_vs_PAUFVP-11A	629	75
PAUGYZ-01A_vs_PAUGYZ-10A	381	54
PAUHAZ-01A_vs_PAUHAZ-10A	233	26
PAUNPA-01A_vs_PAUNPA-11A	662	99
PAVCKS-01A_vs_PAVCKS-11A	953	145
PAVITI-01A_vs_PAVITI-10A	584	133
PAVYDM-01A_vs_PAVYDM-11A	392	88
PAVYKD-01A_vs_PAVYKD-10A	269	26
PAWDGA-01A_vs_PAWDGA-11A	688	104
PAWFBL-01A_vs_PAWFBL-11A	532	78
PAWFWK-01A_vs_PAWFWK-10A	289	21
SJBT030128_D1_vs_SJBT030128_G1	158	0
SJBT030255_D1_vs_SJBT030255_G1	906	230
SJBT030581_D1_vs_SJBT030581_G1	1004	71
SJBT030707_D2_vs_SJBT030707_G1	162	0
SJBT030896_D1_vs_SJBT030896_G1	0	1820
SJBT030997_D1_vs_SJBT030997_G1	341	59
SJBT031235_D1_vs_SJBT031235_G1	37	0
SJBT031605_D1_vs_SJBT031605_G1	1026	342
SJBT031948_D2_vs_SJBT031948_G1	0	5707
SJBT032047_D1_vs_SJBT032047_G1	3	4
SJBT032346_D1_vs_SJBT032346_G1	662	0
SJBT032393_D1_vs_SJBT032393_G1	982	9
SJBT032417_D2_vs_SJBT032417_G1	95	0
SJBT033133_D3_vs_SJBT033133_G1	7	2
SJBT033236_D2_vs_SJBT033236_G1	53	4
SJBT034089_D1_vs_SJBT034089_G1	46	0
SJBT034110_D2_vs_SJBT034110_G1	109	10
SJMRT014754_D1_vs_SJMRT014754_G1	659	511
SJMRT015723_D1_vs_SJMRT015723_G1	513	43
SJMRT063832_X1_vs_SJMRT063832_G1	11635	5929
