Samples	SBS96A	SBS96B	SBS96C
AX4912_vs_AX4894	887	537	127
AX4914_vs_AX4895	445	161	80
AX4915_vs_AX4895	1287	470	1232
AX4916_vs_AX4896	57	68	3
AX4918_vs_AX4897	976	1167	191
AX4921_vs_AX4898	500	126	91
AX4922_vs_AX4899	485	212	3701
AX4923_vs_AX4906	1271	690	602
AX4924_vs_AX4901	31	173	5
AX4925_vs_AX4901	99	65	10
AX4926_vs_AX4904	17	159	5
AX4927_vs_AX4905	315	134	323
AX4928_vs_AQ5174	764	444	149
AX4929_vs_AQ5174	6	240	12
AX4930_vs_AX4900	423	184	0
AX4931_vs_AX4907	53	172	43
AX4932_vs_AX4908	258	267	7
AX4933_vs_AX4909	104	73	12
AX4934_vs_AX4909	64	32	10
AX4935_vs_AX4910	714	0	54
AX4936_vs_AX4911	224	390	71
AX4937_vs_AX4894	893	509	110
AX4938_vs_AX4896	79	68	11
AX4940_vs_AX4904	470	262	139
AX4942_vs_AX4898	1573	228	210
AX4943_vs_AX4898	1716	201	230
AX4944_vs_AX4897	750	1215	188
AX4945_vs_AX4898	558	123	123
AX4946_vs_AX4895	3925	0	474
AX4947_vs_AX4895	3852	0	441
AX4951_vs_AX4903	42	108	2
AX4958_vs_AQ5174	2482	93	368
AX4961_vs_AQ5174	2545	63	375
DIAF_vs_BLOOD	551	388	305
HK_vs_BLOOD	5	13	0
LNMETA_vs_BLOOD	437	294	136
LN_vs_BLOOD	254	233	75
OMEN_vs_BLOOD	453	288	126
PABKLN-01A_vs_PABKLN-11A	285	445	80
PADWRZ-01A_vs_PADWRZ-10A	339	205	77
PADYZI-01A_vs_PADYZI-10A	0	1152	0
PAEHIP-01A_vs_PAEHIP-10A	85	95	0
PAJLWM-01A_vs_PAJLWM-11A	142	91	25
PAJMBW-01A_vs_PAJMBW-10A	16	508	65
PAJMRB-01A_vs_PAJMRB-11A	197	104	11
PAJNER-01A_vs_PAJNER-11A	136	90	15
PAJNFP-01A_vs_PAJNFP-11A	199	378	105
PAJNFZ-01A_vs_PAJNFZ-10A	206	364	21
PAKHTL-01A_vs_PAKHTL-11A	470	353	27
PAKLYZ-01A_vs_PAKLYZ-10A	933	0	198
PAKTCT-01A_vs_PAKTCT-11A	577	201	110
PARECB-01A_vs_PARECB-11A	140	114	22
PAREWI-01A_vs_PAREWI-11A	121	205	21
PARGRN-01A_vs_PARGRN-10A	158	136	10
PARIRN-01A_vs_PARIRN-10A	391	220	31
PARPFY-01A_vs_PARPFY-11A	355	111	32
PARRCL-01A_vs_PARRCL-11A	204	233	72
PARTKH-01A_vs_PARTKH-10A	242	238	58
PARUGK-01A_vs_PARUGK-10A	195	128	32
PARZBI-01A_vs_PARZBI-11A	258	290	39
PARZRH-01A_vs_PARZRH-10A	764	47	119
PASABD-01A_vs_PASABD-10A	172	117	29
PASADZ-01A_vs_PASADZ-10A	261	290	41
PASCDH-01A_vs_PASCDH-10A	121	99	21
PASDLA-01A_vs_PASDLA-11A	169	84	29
PASGCL-01A_vs_PASGCL-10A	270	195	48
PASRHU-01A_vs_PASRHU-10A	130	98	0
PASVDP-01A_vs_PASVDP-10A	176	119	70
PASWZZ-01A_vs_PASWZZ-10A	114	102	8
PASXNA-01A_vs_PASXNA-11A	214	236	46
PASYNF-01A_vs_PASYNF-10A	184	123	29
PASZYE-01A_vs_PASZYE-10A	300	166	25
PATAFT-01A_vs_PATAFT-10A	186	134	62
PATBLF-01A_vs_PATBLF-10A	517	144	64
PATDVL-01A_vs_PATDVL-10A	198	108	49
PATENH-01A_vs_PATENH-11A	436	194	31
PATFXW-01A_vs_PATFXW-10A	228	240	14
PATFZZ-01A_vs_PATFZZ-10A	270	223	61
PATXEE-01A_vs_PATXEE-10A	326	126	31
PATXKA-01A_vs_PATXKA-10A	229	151	62
PAUCGJ-01A_vs_PAUCGJ-10A	520	232	74
PAUDPV-01A_vs_PAUDPV-11A	164	110	12
