Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
AX4912_vs_AX4894	6.07E+00	6.03E+00	2.46E+00	5.88E+00	5.45E+00	1.27E+00
AX4914_vs_AX4895	4.76E+00	3.17E+00	1.83E+00	3.18E+00	5.39E+00	4.72E-01
AX4915_vs_AX4895	2.16E+01	9.66E+00	1.28E+01	5.76E+00	3.25E+01	2.10E+00
AX4916_vs_AX4896	1.22E+00	1.12E+00	5.11E-01	1.13E+00	1.17E+00	6.39E-01
AX4918_vs_AX4897	8.90E+00	8.64E+00	3.28E+00	5.12E+00	1.02E+01	4.18E+00
AX4921_vs_AX4898	3.97E+00	3.56E+00	1.70E+00	2.99E+00	2.29E+00	8.86E-01
AX4922_vs_AX4899	1.74E+01	3.13E+00	2.06E+01	7.29E+00	2.25E+01	3.00E+00
AX4923_vs_AX4906	2.49E+01	1.21E+01	8.28E+00	5.14E+00	3.39E+01	3.36E+00
AX4924_vs_AX4901	3.32E-01	8.17E-01	2.50E-01	1.82E+00	6.89E+00	5.85E+00
AX4925_vs_AX4901	1.34E+00	1.40E+00	5.80E-01	1.33E+00	1.13E+00	5.34E-01
AX4926_vs_AX4904	8.37E-01	0.00E+00	2.41E-01	1.54E+00	7.51E+00	6.68E+00
AX4927_vs_AX4905	3.64E+00	3.28E+00	2.86E+00	2.04E+00	4.33E+00	9.82E-01
AX4928_vs_AQ5174	1.46E+01	7.87E+00	2.90E+00	4.43E+00	1.78E+01	1.03E+00
AX4929_vs_AQ5174	2.54E-01	2.26E+00	4.61E-01	1.43E+00	1.02E+01	8.10E+00
AX4930_vs_AX4900	3.42E+00	2.51E+00	1.29E+00	2.94E+00	2.99E+00	6.06E-01
AX4931_vs_AX4907	9.72E-01	3.10E+00	1.29E+00	1.33E+00	4.86E+00	2.63E+00
AX4932_vs_AX4908	3.78E+00	3.20E+00	1.42E+00	2.97E+00	4.34E+00	1.79E-01
AX4933_vs_AX4909	1.53E+00	1.68E+00	7.20E-01	1.73E+00	9.29E-01	4.96E-01
AX4934_vs_AX4909	1.16E+00	9.71E-01	5.28E-01	1.27E+00	6.05E-01	2.36E-01
AX4935_vs_AX4910	5.13E+00	3.65E+00	2.04E+00	3.15E+00	4.47E+00	9.34E-01
AX4936_vs_AX4911	3.29E+00	2.94E+00	2.05E+00	2.60E+00	3.76E+00	4.17E+00
AX4937_vs_AX4894	5.67E+00	5.62E+00	2.66E+00	5.25E+00	5.70E+00	1.17E+00
AX4938_vs_AX4896	1.61E+00	1.20E+00	7.13E-01	1.30E+00	1.43E+00	6.30E-01
AX4940_vs_AX4904	9.12E+00	4.37E+00	3.07E+00	2.44E+00	1.14E+01	1.17E+00
AX4942_vs_AX4898	9.67E+00	6.08E+00	3.62E+00	4.21E+00	9.24E+00	1.90E+00
AX4943_vs_AX4898	9.38E+00	7.78E+00	3.59E+00	4.33E+00	1.01E+01	1.92E+00
AX4944_vs_AX4897	7.68E+00	7.02E+00	2.89E+00	5.20E+00	8.90E+00	3.84E+00
AX4945_vs_AX4898	3.78E+00	3.57E+00	1.89E+00	2.98E+00	2.57E+00	9.50E-01
AX4946_vs_AX4895	1.83E+01	1.59E+01	7.76E+00	8.65E+00	2.63E+01	2.24E+00
AX4947_vs_AX4895	1.93E+01	1.48E+01	7.66E+00	7.74E+00	2.63E+01	2.69E+00
