Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
AX4912_vs_AX4894	408	512	0	78	429	34	90
AX4914_vs_AX4895	109	157	155	48	193	1	23
AX4915_vs_AX4895	494	179	1150	785	155	101	125
AX4916_vs_AX4896	15	3	39	2	56	13	0
AX4918_vs_AX4897	538	728	156	78	303	447	84
AX4921_vs_AX4898	104	330	0	66	185	12	20
AX4922_vs_AX4899	19	265	617	3040	75	94	288
AX4923_vs_AX4906	772	127	1069	244	10	110	231
AX4924_vs_AX4901	0	0	0	0	2	0	207
AX4925_vs_AX4901	54	57	3	2	34	5	19
AX4926_vs_AX4904	0	0	0	0	0	0	181
AX4927_vs_AX4905	141	160	118	238	65	31	19
AX4928_vs_AQ5174	626	67	526	0	66	20	52
AX4929_vs_AQ5174	0	0	0	0	0	2	256
AX4930_vs_AX4900	20	228	32	0	289	7	31
AX4931_vs_AX4907	54	0	20	21	21	0	152
AX4932_vs_AX4908	75	0	142	6	294	4	11
AX4933_vs_AX4909	24	50	12	11	77	6	9
AX4934_vs_AX4909	10	28	13	9	42	2	2
AX4935_vs_AX4910	89	550	0	10	85	22	12
AX4936_vs_AX4911	103	73	97	39	117	71	185
AX4937_vs_AX4894	409	499	18	59	407	28	92
AX4938_vs_AX4896	21	21	37	7	56	12	4
AX4940_vs_AX4904	218	73	343	52	96	46	43
AX4942_vs_AX4898	473	846	332	43	148	50	119
AX4943_vs_AX4898	485	991	305	52	140	65	109
AX4944_vs_AX4897	568	595	87	89	289	434	91
AX4945_vs_AX4898	105	351	31	89	194	12	22
AX4946_vs_AX4895	321	2807	889	108	17	119	138
AX4947_vs_AX4895	447	2691	827	74	3	132	119
AX4951_vs_AX4903	48	0	0	5	90	5	4
AX4958_vs_AQ5174	653	820	1253	28	94	59	36
AX4961_vs_AQ5174	622	890	1229	34	83	54	71
DIAF_vs_BLOOD	283	178	245	205	195	44	94
HK_vs_BLOOD	0	0	0	0	12	0	6
LNMETA_vs_BLOOD	188	176	133	89	186	36	59
LN_vs_BLOOD	123	78	96	53	157	30	25
OMEN_vs_BLOOD	157	181	145	83	205	37	59
PABKLN-01A_vs_PABKLN-11A	173	255	5	47	114	166	50
PADWRZ-01A_vs_PADWRZ-10A	103	111	147	42	135	32	51
PADYZI-01A_vs_PADYZI-10A	0	0	0	0	0	1152	0
PAEHIP-01A_vs_PAEHIP-10A	0	24	11	6	113	7	19
PAJLWM-01A_vs_PAJLWM-11A	9	71	31	22	89	20	16
PAJMBW-01A_vs_PAJMBW-10A	68	68	118	34	28	257	16
PAJMRB-01A_vs_PAJMRB-11A	30	94	10	13	153	0	12
PAJNER-01A_vs_PAJNER-11A	57	52	34	5	61	5	27
PAJNFP-01A_vs_PAJNFP-11A	87	98	145	62	72	146	72
PAJNFZ-01A_vs_PAJNFZ-10A	115	70	107	4	156	103	36
PAKHTL-01A_vs_PAKHTL-11A	204	278	0	9	259	32	68
PAKLYZ-01A_vs_PAKLYZ-10A	0	343	708	59	8	13	0
PAKTCT-01A_vs_PAKTCT-11A	157	157	296	46	170	17	45
PARECB-01A_vs_PARECB-11A	83	53	49	7	56	21	7
PAREWI-01A_vs_PAREWI-11A	48	71	14	16	97	53	48
PARGRN-01A_vs_PARGRN-10A	44	62	60	1	83	34	20
PARIRN-01A_vs_PARIRN-10A	61	101	162	14	239	5	60
PARPFY-01A_vs_PARPFY-11A	79	130	152	3	111	23	0
PARRCL-01A_vs_PARRCL-11A	63	85	94	51	116	68	32
PARTKH-01A_vs_PARTKH-10A	104	41	184	19	82	54	54
PARUGK-01A_vs_PARUGK-10A	71	103	14	25	118	13	11
PARZBI-01A_vs_PARZBI-11A	130	83	107	17	151	57	42
PARZRH-01A_vs_PARZRH-10A	0	463	177	62	141	72	15
PASABD-01A_vs_PASABD-10A	49	81	39	19	90	23	17
PASADZ-01A_vs_PASADZ-10A	94	102	144	10	96	87	59
PASCDH-01A_vs_PASCDH-10A	53	46	30	14	85	10	3
PASDLA-01A_vs_PASDLA-11A	23	68	64	18	76	15	18
PASGCL-01A_vs_PASGCL-10A	100	145	0	38	170	10	50
PASRHU-01A_vs_PASRHU-10A	0	59	14	3	130	13	9
PASVDP-01A_vs_PASVDP-10A	48	70	75	51	85	28	8
PASWZZ-01A_vs_PASWZZ-10A	42	58	9	4	71	12	28
PASXNA-01A_vs_PASXNA-11A	117	0	178	16	119	33	33
PASYNF-01A_vs_PASYNF-10A	18	78	42	27	137	16	18
PASZYE-01A_vs_PASZYE-10A	92	132	73	7	141	17	29
PATAFT-01A_vs_PATAFT-10A	98	67	83	31	46	25	32
PATBLF-01A_vs_PATBLF-10A	83	290	107	31	166	40	8
PATDVL-01A_vs_PATDVL-10A	51	130	7	38	89	25	15
PATENH-01A_vs_PATENH-11A	24	279	10	29	264	39	16
PATFXW-01A_vs_PATFXW-10A	40	41	145	3	173	52	28
PATFZZ-01A_vs_PATFZZ-10A	65	25	226	28	126	55	29
PATXEE-01A_vs_PATXEE-10A	40	182	58	19	150	22	12
PATXKA-01A_vs_PATXKA-10A	52	105	98	33	62	45	47
PAUCGJ-01A_vs_PAUCGJ-10A	104	272	228	13	63	127	19
PAUDPV-01A_vs_PAUDPV-11A	37	82	60	0	59	39	9
PAUEKW-01A_vs_PAUEKW-10A	307	194	99	82	484	22	79
PAUFVP-01A_vs_PAUFVP-11A	77	148	145	35	226	34	39
PAUGYZ-01A_vs_PAUGYZ-10A	0	83	193	14	123	5	17
PAUHAZ-01A_vs_PAUHAZ-10A	3	31	67	17	107	12	22
PAUNPA-01A_vs_PAUNPA-11A	0	376	144	31	185	5	20
PAVCKS-01A_vs_PAVCKS-11A	135	254	162	54	276	172	45
PAVITI-01A_vs_PAVITI-10A	71	189	140	68	180	39	30
PAVYDM-01A_vs_PAVYDM-11A	108	8	190	29	98	25	22
PAVYKD-01A_vs_PAVYKD-10A	48	19	96	4	83	23	22
PAWDGA-01A_vs_PAWDGA-11A	138	490	0	18	78	10	58
PAWFBL-01A_vs_PAWFBL-11A	0	267	171	14	116	16	26
PAWFWK-01A_vs_PAWFWK-10A	34	24	98	5	101	15	33
SJBT030128_D1_vs_SJBT030128_G1	0	30	46	0	81	1	0
SJBT030255_D1_vs_SJBT030255_G1	184	13	521	76	210	79	53
SJBT030581_D1_vs_SJBT030581_G1	69	234	147	68	546	4	7
SJBT030707_D2_vs_SJBT030707_G1	36	14	0	1	85	0	26
SJBT030896_D1_vs_SJBT030896_G1	85	0	0	1524	170	2	39
SJBT030997_D1_vs_SJBT030997_G1	104	59	48	29	110	36	14
SJBT031235_D1_vs_SJBT031235_G1	0	0	5	0	32	0	0
SJBT031605_D1_vs_SJBT031605_G1	380	18	509	129	181	54	97
SJBT031948_D2_vs_SJBT031948_G1	153	465	767	3996	18	144	164
SJBT032047_D1_vs_SJBT032047_G1	3	0	0	2	0	0	2
SJBT032346_D1_vs_SJBT032346_G1	68	174	0	13	375	13	19
SJBT032393_D1_vs_SJBT032393_G1	27	112	148	34	583	18	69
SJBT032417_D2_vs_SJBT032417_G1	1	0	15	1	75	3	0
SJBT033133_D3_vs_SJBT033133_G1	2	2	0	1	2	0	2
SJBT033236_D2_vs_SJBT033236_G1	9	0	9	5	34	0	0
SJBT034089_D1_vs_SJBT034089_G1	0	0	0	2	44	0	0
SJBT034110_D2_vs_SJBT034110_G1	31	0	32	5	46	2	3
SJMRT014754_D1_vs_SJMRT014754_G1	7	169	526	273	125	38	32
SJMRT015723_D1_vs_SJMRT015723_G1	178	144	16	7	134	37	40
SJMRT063832_X1_vs_SJMRT063832_G1	13175	270	8	2380	495	405	831
