Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
AX4912_vs_AX4894	166	107	309	480	71	0	315	33	70
AX4914_vs_AX4895	65	91	84	109	39	136	145	0	17
AX4915_vs_AX4895	163	209	697	145	695	833	83	88	76
AX4916_vs_AX4896	14	15	16	0	0	24	46	13	0
AX4918_vs_AX4897	81	197	778	505	74	0	200	430	69
AX4921_vs_AX4898	37	145	88	217	61	0	138	11	20
AX4922_vs_AX4899	15	160	0	204	2730	1011	14	76	188
AX4923_vs_AX4906	404	37	454	218	183	1016	0	94	157
AX4924_vs_AX4901	0	0	0	0	0	17	7	0	185
AX4925_vs_AX4901	38	29	24	35	1	0	26	5	16
AX4926_vs_AX4904	0	0	0	0	0	0	0	0	181
AX4927_vs_AX4905	63	97	157	92	217	55	49	29	13
AX4928_vs_AQ5174	273	131	802	0	0	40	61	17	33
AX4929_vs_AQ5174	11	0	17	0	0	0	0	2	228
AX4930_vs_AX4900	1	76	0	183	0	104	212	5	26
AX4931_vs_AX4907	64	7	0	0	18	30	20	0	129
AX4932_vs_AX4908	43	20	116	8	1	94	239	2	9
AX4933_vs_AX4909	21	32	5	35	9	10	62	6	9
AX4934_vs_AX4909	9	22	8	15	8	5	36	1	2
AX4935_vs_AX4910	0	20	0	589	4	135	0	20	0
AX4936_vs_AX4911	42	66	166	46	38	0	99	68	160
AX4937_vs_AX4894	198	131	269	426	48	47	297	25	71
AX4938_vs_AX4896	15	25	29	8	6	14	46	11	4
AX4940_vs_AX4904	141	60	129	68	34	313	58	41	27
AX4942_vs_AX4898	266	583	484	361	44	0	116	45	112
AX4943_vs_AX4898	229	609	547	447	52	0	100	61	102
AX4944_vs_AX4897	152	119	667	452	80	0	193	417	73
AX4945_vs_AX4898	44	181	96	218	83	0	148	11	23
AX4946_vs_AX4895	284	2149	608	915	132	0	22	107	182
AX4947_vs_AX4895	412	2085	579	818	95	0	20	119	165
AX4951_vs_AX4903	29	0	38	0	3	0	74	4	4
AX4958_vs_AQ5174	248	833	1201	170	32	294	80	49	36
AX4961_vs_AQ5174	224	872	1196	198	40	271	70	44	68
DIAF_vs_BLOOD	203	122	145	122	178	216	147	38	73
HK_vs_BLOOD	0	0	0	2	0	0	10	0	6
LNMETA_vs_BLOOD	137	108	96	112	76	115	143	32	48
LN_vs_BLOOD	92	35	44	68	42	118	118	27	18
OMEN_vs_BLOOD	106	113	108	110	72	118	157	34	49
PABKLN-01A_vs_PABKLN-11A	88	59	71	203	38	80	71	159	41
PADWRZ-01A_vs_PADWRZ-10A	116	119	0	49	33	121	109	29	45
PADYZI-01A_vs_PADYZI-10A	0	0	0	0	0	0	0	1152	0
PAEHIP-01A_vs_PAEHIP-10A	0	9	0	32	4	24	89	6	16
PAJLWM-01A_vs_PAJLWM-11A	19	55	0	32	17	31	71	18	15
PAJMBW-01A_vs_PAJMBW-10A	70	69	0	28	27	113	17	245	20
PAJMRB-01A_vs_PAJMRB-11A	25	44	0	75	8	31	118	0	11
PAJNER-01A_vs_PAJNER-11A	24	8	43	50	2	46	43	4	21
PAJNFP-01A_vs_PAJNFP-11A	27	65	132	55	55	96	51	139	62
PAJNFZ-01A_vs_PAJNFZ-10A	83	67	82	42	1	56	126	100	34
PAKHTL-01A_vs_PAKHTL-11A	156	97	8	278	11	2	201	32	65
PAKLYZ-01A_vs_PAKLYZ-10A	0	535	86	0	61	406	19	11	13
PAKTCT-01A_vs_PAKTCT-11A	76	98	159	108	33	249	119	13	33
PARECB-01A_vs_PARECB-11A	68	19	0	50	2	76	38	19	4
PAREWI-01A_vs_PAREWI-11A	22	3	17	77	11	57	69	51	40
PARGRN-01A_vs_PARGRN-10A	28	14	0	62	0	100	55	31	14
PARIRN-01A_vs_PARIRN-10A	6	0	29	150	1	249	164	2	41
PARPFY-01A_vs_PARPFY-11A	30	92	122	64	0	85	84	21	0
PARRCL-01A_vs_PARRCL-11A	59	60	8	58	42	103	88	64	27
PARTKH-01A_vs_PARTKH-10A	71	45	79	24	11	157	59	50	42
PARUGK-01A_vs_PARUGK-10A	23	13	62	98	20	35	85	12	7
PARZBI-01A_vs_PARZBI-11A	65	24	104	87	10	99	111	54	33
PARZRH-01A_vs_PARZRH-10A	0	342	1	205	62	114	109	70	27
PASABD-01A_vs_PASABD-10A	11	15	50	75	15	55	63	22	12
PASADZ-01A_vs_PASADZ-10A	54	77	97	51	5	101	72	83	52
PASCDH-01A_vs_PASCDH-10A	33	22	33	41	11	23	65	10	3
PASDLA-01A_vs_PASDLA-11A	17	35	3	50	12	82	55	14	14
PASGCL-01A_vs_PASGCL-10A	48	30	43	147	33	33	127	10	42
PASRHU-01A_vs_PASRHU-10A	0	40	0	42	2	16	104	13	11
PASVDP-01A_vs_PASVDP-10A	66	94	8	11	47	27	76	26	10
PASWZZ-01A_vs_PASWZZ-10A	31	36	27	33	3	0	58	11	25
PASXNA-01A_vs_PASXNA-11A	48	17	175	4	12	91	94	30	25
PASYNF-01A_vs_PASYNF-10A	6	43	28	59	24	37	107	15	17
PASZYE-01A_vs_PASZYE-10A	68	90	59	78	5	37	113	15	26
PATAFT-01A_vs_PATAFT-10A	53	37	89	45	26	52	32	23	25
PATBLF-01A_vs_PATBLF-10A	87	210	14	142	27	64	130	37	14
PATDVL-01A_vs_PATDVL-10A	40	81	31	60	34	0	71	23	15
PATENH-01A_vs_PATENH-11A	0	88	12	221	22	78	190	37	13
PATFXW-01A_vs_PATFXW-10A	18	42	64	36	0	114	135	49	24
PATFZZ-01A_vs_PATFZZ-10A	0	20	149	32	20	172	89	51	21
PATXEE-01A_vs_PATXEE-10A	52	125	0	86	13	58	116	20	13
PATXKA-01A_vs_PATXKA-10A	19	77	84	55	30	46	47	43	41
PAUCGJ-01A_vs_PAUCGJ-10A	30	147	140	146	7	190	31	120	15
PAUDPV-01A_vs_PAUDPV-11A	0	3	28	84	0	98	32	37	4
PAUEKW-01A_vs_PAUEKW-10A	180	61	197	212	68	85	381	19	64
PAUFVP-01A_vs_PAUFVP-11A	0	53	196	110	29	91	167	30	28
PAUGYZ-01A_vs_PAUGYZ-10A	0	136	0	5	12	150	106	4	22
PAUHAZ-01A_vs_PAUHAZ-10A	0	21	23	30	13	59	83	11	19
PAUNPA-01A_vs_PAUNPA-11A	13	326	0	140	30	62	154	4	32
