NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	239.678	45.251	34.461	37.503	0.262	0.85	30000.0
2	241.186	44.882	34.603	37.486	0.257	0.847	60000.0
3	240.919	45.677	35.191	38.326	0.266	0.843	80000.0
4	244.309	46.435	35.685	39.136	0.265	0.833	60000.0
5	238.518	45.763	34.344	38.117	0.258	0.843	50000.0
6	243.108	45.613	35.142	38.235	0.256	0.843	50000.0
7	240.422	45.537	34.579	37.88	0.258	0.844	80000.0
8	244.973	45.104	35.364	37.474	0.247	0.853	60000.0
9	241.473	45.689	34.735	38.062	0.26	0.843	110000.0
10	243.831	45.712	35.546	38.418	0.264	0.842	80000.0
11	245.014	46.249	35.82	38.887	0.264	0.838	130000.0
12	244.998	46.008	35.267	38.754	0.266	0.837	130000.0
13	243.769	45.971	35.489	38.639	0.264	0.839	90000.0
14	244.361	45.703	35.281	38.487	0.255	0.84	50000.0
15	241.864	45.205	34.744	37.764	0.254	0.846	90000.0
16	240.693	45.375	34.851	38.124	0.258	0.842	100000.0
17	239.52	44.899	34.79	37.577	0.254	0.848	40000.0
18	243.131	45.674	35.286	38.246	0.257	0.839	80000.0
19	244.985	46.496	35.212	38.798	0.266	0.837	70000.0
20	239.002	45.384	34.667	37.706	0.255	0.848	80000.0
21	248.925	45.995	36.168	38.527	0.262	0.844	60000.0
22	244.625	45.604	35.208	38.089	0.257	0.845	130000.0
23	239.671	45.168	34.66	37.677	0.256	0.846	60000.0
24	238.371	45.38	34.675	38.066	0.263	0.84	70000.0
25	236.682	44.825	34.182	37.622	0.253	0.851	80000.0
26	237.263	44.987	34.288	37.702	0.257	0.848	50000.0
27	245.842	46.339	35.465	38.588	0.269	0.837	80000.0
28	240.501	44.869	34.559	37.605	0.255	0.847	60000.0
29	241.028	45.617	34.724	38.31	0.265	0.839	50000.0
30	243.772	45.373	35.762	38.103	0.262	0.847	90000.0
31	242.738	45.04	35.046	37.721	0.251	0.849	60000.0
32	241.19	45.493	34.531	38.053	0.256	0.843	70000.0
33	244.694	46.098	35.462	38.651	0.268	0.837	80000.0
34	242.913	45.594	35.157	38.075	0.259	0.844	130000.0
35	240.111	45.27	34.699	37.82	0.253	0.849	40000.0
36	244.416	45.928	35.257	38.259	0.257	0.844	90000.0
37	247.631	44.867	36.039	37.812	0.253	0.844	80000.0
38	243.609	45.896	34.904	38.068	0.263	0.844	80000.0
39	244.494	45.364	35.489	37.956	0.255	0.847	40000.0
40	243.142	46.095	35.246	38.709	0.26	0.836	80000.0
41	240.658	45.563	34.802	37.983	0.266	0.843	90000.0
42	239.549	45.953	34.567	38.238	0.265	0.842	50000.0
43	241.481	45.862	34.996	38.162	0.265	0.845	70000.0
44	241.435	45.312	34.882	37.823	0.259	0.843	70000.0
45	239.687	45.432	34.402	37.434	0.264	0.848	70000.0
46	241.585	45.434	35.365	38.347	0.263	0.839	50000.0
47	240.761	45.735	34.805	38.356	0.263	0.84	70000.0
48	241.242	45.485	35.064	38.025	0.263	0.844	60000.0
49	237.375	45.352	34.076	37.773	0.257	0.847	80000.0
50	239.093	45.073	34.629	37.677	0.255	0.85	80000.0
51	242.324	45.922	35.199	38.016	0.265	0.846	60000.0
52	239.432	44.952	34.723	37.943	0.254	0.843	60000.0
53	238.715	45.468	34.424	37.682	0.261	0.848	50000.0
54	242.275	45.549	35.263	37.9	0.264	0.846	50000.0
55	244.989	45.517	35.434	38.107	0.262	0.844	80000.0
56	243.402	45.518	35.232	38.37	0.257	0.841	70000.0
57	240.799	45.571	34.926	38.053	0.259	0.848	60000.0
58	243.37	45.744	35.364	38.195	0.262	0.843	100000.0
59	243.364	44.995	35.578	38.087	0.254	0.844	50000.0
60	244.785	46.211	35.165	38.53	0.265	0.838	90000.0
61	240.061	45.383	34.977	38.086	0.253	0.845	60000.0
62	242.836	45.479	35.429	38.03	0.256	0.845	50000.0
63	241.3	45.703	34.553	38.128	0.26	0.844	30000.0
64	247.814	46.587	35.648	38.647	0.272	0.84	60000.0
65	238.976	45.525	34.397	37.767	0.26	0.845	130000.0
66	238.914	45.125	34.577	37.668	0.25	0.848	40000.0
67	240.105	45.073	34.448	37.581	0.254	0.85	90000.0
68	244.661	45.527	35.343	38.082	0.254	0.844	60000.0
69	239.645	45.049	34.951	37.661	0.256	0.848	50000.0
70	245.155	46.127	35.4	38.345	0.265	0.841	120000.0
71	241.268	44.801	34.942	37.692	0.254	0.846	100000.0
72	242.524	45.642	34.904	38.08	0.258	0.844	60000.0
73	242.949	45.994	35.328	38.434	0.271	0.84	90000.0
74	240.911	45.378	34.734	37.576	0.254	0.852	70000.0
75	241.467	45.696	34.535	37.917	0.266	0.842	70000.0
76	241.037	45.49	35.183	38.121	0.263	0.843	100000.0
77	238.667	45.004	34.679	37.919	0.254	0.847	100000.0
78	243.126	45.509	34.92	38.005	0.258	0.841	70000.0
79	244.889	45.712	35.143	38.301	0.256	0.842	160000.0
80	239.509	45.447	34.661	38.02	0.262	0.846	80000.0
81	242.744	45.966	35.426	38.508	0.264	0.84	70000.0
82	246.794	45.814	35.447	38.366	0.254	0.843	70000.0
83	238.724	45.13	34.619	37.904	0.249	0.843	60000.0
84	241.269	45.844	35.161	38.195	0.263	0.844	40000.0
85	245.582	46.03	35.791	38.526	0.261	0.84	50000.0
86	242.938	45.542	34.914	37.905	0.26	0.845	100000.0
87	238.425	45.117	34.566	37.724	0.262	0.843	60000.0
88	242.889	45.624	35.636	38.397	0.264	0.84	80000.0
89	240.768	45.72	35.009	38.566	0.256	0.841	110000.0
90	241.475	45.642	35.088	38.239	0.262	0.842	90000.0
91	243.388	45.415	35.486	38.23	0.254	0.846	80000.0
92	241.193	45.295	34.527	37.7	0.263	0.847	70000.0
93	243.374	45.429	35.227	38.208	0.257	0.843	130000.0
94	241.731	45.149	34.669	37.517	0.255	0.845	80000.0
95	243.822	45.625	35.122	38.226	0.26	0.843	90000.0
96	244.564	45.554	35.338	38.149	0.254	0.844	40000.0
97	243.393	45.881	35.496	38.464	0.261	0.839	90000.0
98	245.13	45.578	35.141	38.136	0.256	0.847	60000.0
99	244.295	45.818	35.313	38.404	0.257	0.841	90000.0
100	236.517	45.227	34.11	37.737	0.252	0.846	110000.0
