Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1551	0.978	292.725	18.873%	46.102	21.052%	0.03259	0.953
AX4914_vs_AX4895	686	0.957	200.8	29.271%	28.375	29.082%	0.08714	0.909
AX4915_vs_AX4895	2989	0.959	638.509	21.362%	108.885	28.538%	0.04137	0.882
AX4916_vs_AX4896	128	0.872	84.809	66.257%	11.276	48.98%	0.38546	0.804
AX4918_vs_AX4897	2334	0.991	299.349	12.826%	40.633	13.098%	0.01523	0.98
AX4921_vs_AX4898	717	0.977	168.028	23.435%	22.33	21.417%	0.05365	0.954
AX4922_vs_AX4899	4398	0.987	656.44	14.926%	120.084	16.119%	0.02058	0.979
AX4923_vs_AX4906	2563	0.973	531.607	20.742%	73.984	23.339%	0.03637	0.914
AX4924_vs_AX4901	209	0.969	83.6	40.0%	13.173	25.034%	0.20547	0.963
AX4925_vs_AX4901	174	0.89	90.547	52.039%	11.353	45.595%	0.27696	0.76
AX4926_vs_AX4904	181	0.976	75.239	41.569%	13.28	24.563%	0.2238	0.974
AX4927_vs_AX4905	772	0.977	163.478	21.176%	21.767	21.11%	0.04987	0.945
AX4928_vs_AQ5174	1357	0.974	275.025	20.267%	38.263	22.753%	0.03778	0.917
AX4929_vs_AQ5174	258	0.984	72.038	27.922%	11.039	17.699%	0.11411	0.981
AX4930_vs_AX4900	607	0.981	146.038	24.059%	20.078	19.416%	0.06979	0.971
AX4931_vs_AX4907	268	0.927	117.026	43.666%	17.077	37.589%	0.20106	0.883
AX4932_vs_AX4908	532	0.978	144.426	27.148%	19.282	20.783%	0.07678	0.967
AX4933_vs_AX4909	189	0.91	93.837	49.649%	12.453	41.813%	0.27489	0.842
AX4934_vs_AX4909	106	0.836	74.014	69.825%	9.961	55.339%	0.48489	0.732
AX4935_vs_AX4910	768	0.933	253.227	32.972%	50.075	36.182%	0.08927	0.901
AX4936_vs_AX4911	685	0.972	176.713	25.798%	22.137	23.349%	0.06356	0.938
AX4937_vs_AX4894	1512	0.979	278.771	18.437%	42.864	20.409%	0.03005	0.954
AX4938_vs_AX4896	158	0.898	86.581	54.798%	11.109	43.912%	0.27377	0.822
AX4940_vs_AX4904	871	0.946	252.346	28.972%	34.72	32.511%	0.07472	0.815
AX4942_vs_AX4898	2011	0.98	380.503	18.921%	52.787	19.907%	0.031	0.951
AX4943_vs_AX4898	2147	0.982	375.639	17.496%	53.125	18.779%	0.02866	0.956
AX4944_vs_AX4897	2153	0.992	261.24	12.134%	35.906	12.523%	0.01556	0.982
AX4945_vs_AX4898	804	0.979	178.633	22.218%	23.351	20.34%	0.04734	0.957
AX4946_vs_AX4895	4399	0.997	348.384	7.92%	50.143	8.181%	0.0059	0.993
AX4947_vs_AX4895	4293	0.996	356.121	8.295%	52.359	8.802%	0.00515	0.992
AX4951_vs_AX4903	152	0.938	79.533	52.324%	10.727	34.988%	0.32753	0.917
AX4958_vs_AQ5174	2943	0.993	312.432	10.616%	42.71	11.61%	0.01007	0.98
AX4961_vs_AQ5174	2983	0.994	291.994	9.789%	39.518	10.703%	0.0105	0.983
DIAF_vs_BLOOD	1244	0.98	238.899	19.204%	31.352	19.932%	0.03409	0.941
HK_vs_BLOOD	18	0.717	20.195	112.194%	4.089	70.126%	1.35835	0.68
LNMETA_vs_BLOOD	867	0.975	204.433	23.579%	25.574	22.319%	0.05426	0.936
LN_vs_BLOOD	562	0.964	160.576	28.572%	20.506	26.651%	0.08465	0.917
OMEN_vs_BLOOD	867	0.974	204.876	23.63%	26.13	22.467%	0.05555	0.938
PABKLN-01A_vs_PABKLN-11A	810	0.964	204.756	25.279%	29.678	26.617%	0.06055	0.918
PADWRZ-01A_vs_PADWRZ-10A	621	0.964	170.607	27.473%	22.252	26.636%	0.07105	0.913
PADYZI-01A_vs_PADYZI-10A	1152	0.996	127.399	11.059%	34.716	9.569%	0.00904	0.996
PAEHIP-01A_vs_PAEHIP-10A	180	0.94	87.859	48.811%	12.201	34.05%	0.26542	0.918
PAJLWM-01A_vs_PAJLWM-11A	258	0.939	109.356	42.386%	13.641	34.274%	0.18368	0.889
PAJMBW-01A_vs_PAJMBW-10A	589	0.973	170.489	28.946%	23.3	23.483%	0.1015	0.957
PAJMRB-01A_vs_PAJMRB-11A	312	0.942	132.329	42.413%	19.147	33.795%	0.18441	0.914
PAJNER-01A_vs_PAJNER-11A	241	0.926	98.489	40.867%	13.108	37.698%	0.18533	0.846
PAJNFP-01A_vs_PAJNFP-11A	682	0.968	182.112	26.703%	22.992	25.198%	0.07659	0.921
PAJNFZ-01A_vs_PAJNFZ-10A	591	0.964	178.045	30.126%	22.937	26.658%	0.09483	0.929
PAKHTL-01A_vs_PAKHTL-11A	850	0.978	191.42	22.52%	25.777	20.642%	0.05844	0.958
PAKLYZ-01A_vs_PAKLYZ-10A	1131	0.97	273.253	24.16%	39.841	24.392%	0.05336	0.939
PAKTCT-01A_vs_PAKTCT-11A	888	0.978	194.221	21.872%	24.241	20.987%	0.05286	0.941
PARECB-01A_vs_PARECB-11A	276	0.92	118.035	42.766%	15.093	39.179%	0.18597	0.819
PAREWI-01A_vs_PAREWI-11A	347	0.947	127.747	36.815%	16.406	32.021%	0.15516	0.897
PARGRN-01A_vs_PARGRN-10A	304	0.947	104.159	34.263%	13.891	32.226%	0.12863	0.886
PARIRN-01A_vs_PARIRN-10A	642	0.975	153.247	23.87%	21.812	22.154%	0.06443	0.955
PARPFY-01A_vs_PARPFY-11A	498	0.942	167.735	33.682%	22.987	33.71%	0.10765	0.864
PARRCL-01A_vs_PARRCL-11A	509	0.955	154.076	30.27%	20.525	29.585%	0.07905	0.895
PARTKH-01A_vs_PARTKH-10A	538	0.94	177.961	33.078%	24.421	34.123%	0.10816	0.848
PARUGK-01A_vs_PARUGK-10A	355	0.947	126.375	35.599%	16.671	32.464%	0.14192	0.892
PARZBI-01A_vs_PARZBI-11A	587	0.966	162.861	27.745%	21.27	26.081%	0.07122	0.924
PARZRH-01A_vs_PARZRH-10A	930	0.981	194.09	20.87%	25.909	19.653%	0.04615	0.959
PASABD-01A_vs_PASABD-10A	318	0.933	128.362	40.365%	16.649	36.091%	0.15969	0.861
PASADZ-01A_vs_PASADZ-10A	592	0.955	174.607	29.494%	24.201	29.83%	0.08341	0.897
PASCDH-01A_vs_PASCDH-10A	241	0.941	94.101	39.046%	12.233	33.915%	0.17989	0.886
PASDLA-01A_vs_PASDLA-11A	282	0.924	115.304	40.888%	15.79	38.207%	0.17386	0.847
PASGCL-01A_vs_PASGCL-10A	513	0.967	144.475	28.163%	19.511	25.425%	0.09151	0.938
PASRHU-01A_vs_PASRHU-10A	228	0.963	85.688	37.582%	11.386	27.079%	0.20765	0.946
