Samples	SBS1	SBS2	SBS5	SBS8	SBS13	SBS17a	SBS17b	SBS18	SBS31	SBS35	SBS46	SBS57	SBS84	SBS90
AX4912_vs_AX4894	246	0	1305	0	0	0	0	0	0	0	0	0	0	0
AX4914_vs_AX4895	102	0	456	0	0	0	0	128	0	0	0	0	0	0
AX4915_vs_AX4895	150	0	1691	0	0	0	0	0	0	1148	0	0	0	0
AX4916_vs_AX4896	34	0	94	0	0	0	0	0	0	0	0	0	0	0
AX4918_vs_AX4897	198	88	1190	440	138	77	203	0	0	0	0	0	0	0
AX4921_vs_AX4898	96	40	403	0	19	0	0	159	0	0	0	0	0	0
AX4922_vs_AX4899	125	0	706	0	0	0	0	0	1791	1776	0	0	0	0
AX4923_vs_AX4906	50	0	1417	809	0	0	0	0	0	0	0	0	287	0
AX4924_vs_AX4901	4	0	54	0	0	0	0	0	0	0	0	81	0	70
AX4925_vs_AX4901	22	0	152	0	0	0	0	0	0	0	0	0	0	0
AX4926_vs_AX4904	2	0	3	0	0	0	0	0	0	0	0	110	0	66
AX4927_vs_AX4905	43	0	366	0	0	0	0	140	223	0	0	0	0	0
AX4928_vs_AQ5174	74	0	1283	0	0	0	0	0	0	0	0	0	0	0
AX4929_vs_AQ5174	1	0	43	0	0	0	0	0	0	0	0	138	0	76
AX4930_vs_AX4900	150	47	288	0	0	0	0	122	0	0	0	0	0	0
AX4931_vs_AX4907	16	0	120	0	0	0	0	0	0	0	0	99	0	33
AX4932_vs_AX4908	156	0	258	118	0	0	0	0	0	0	0	0	0	0
AX4933_vs_AX4909	45	0	144	0	0	0	0	0	0	0	0	0	0	0
AX4934_vs_AX4909	25	0	81	0	0	0	0	0	0	0	0	0	0	0
AX4935_vs_AX4910	43	174	372	0	28	0	0	151	0	0	0	0	0	0
AX4936_vs_AX4911	73	0	397	0	0	0	0	0	0	0	0	149	0	66
AX4937_vs_AX4894	220	0	1068	0	0	0	0	224	0	0	0	0	0	0
AX4938_vs_AX4896	34	0	124	0	0	0	0	0	0	0	0	0	0	0
AX4940_vs_AX4904	69	0	488	314	0	0	0	0	0	0	0	0	0	0
AX4942_vs_AX4898	94	0	1409	0	0	0	0	508	0	0	0	0	0	0
AX4943_vs_AX4898	91	0	1499	0	0	0	0	557	0	0	0	0	0	0
AX4944_vs_AX4897	195	0	1656	0	0	94	208	0	0	0	0	0	0	0
AX4945_vs_AX4898	102	40	465	0	0	0	0	197	0	0	0	0	0	0
AX4946_vs_AX4895	25	0	2652	0	0	0	0	1722	0	0	0	0	0	0
AX4947_vs_AX4895	29	0	2617	0	0	0	0	1647	0	0	0	0	0	0
AX4951_vs_AX4903	48	0	104	0	0	0	0	0	0	0	0	0	0	0
AX4958_vs_AQ5174	90	0	1994	0	0	0	0	859	0	0	0	0	0	0
AX4961_vs_AQ5174	83	0	2012	0	0	0	0	888	0	0	0	0	0	0
DIAF_vs_BLOOD	116	0	750	0	0	0	0	193	185	0	0	0	0	0
