Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
AX4912_vs_AX4894	252	581	103	113	71	324	34	73
AX4914_vs_AX4895	83	133	108	158	43	161	0	0
AX4915_vs_AX4895	271	258	292	1099	752	126	94	97
AX4916_vs_AX4896	0	0	21	36	0	56	15	0
AX4918_vs_AX4897	294	700	215	349	65	201	435	75
AX4921_vs_AX4898	65	250	154	10	64	142	12	20
AX4922_vs_AX4899	0	0	365	710	3054	0	0	269
AX4923_vs_AX4906	413	376	0	1279	214	0	103	178
AX4924_vs_AX4901	0	0	0	0	0	0	0	209
AX4925_vs_AX4901	46	42	32	3	2	27	5	17
AX4926_vs_AX4904	0	0	0	0	0	0	0	181
AX4927_vs_AX4905	106	118	109	112	231	50	30	16
AX4928_vs_AQ5174	571	0	188	527	0	71	0	0
AX4929_vs_AQ5174	0	0	0	0	0	0	0	258
AX4930_vs_AX4900	0	212	116	0	0	246	0	33
AX4931_vs_AX4907	76	0	0	0	26	25	0	141
AX4932_vs_AX4908	73	20	32	129	3	262	2	11
AX4933_vs_AX4909	22	36	35	4	11	66	6	9
AX4934_vs_AX4909	12	16	25	4	9	37	1	2
AX4935_vs_AX4910	0	768	0	0	0	0	0	0
AX4936_vs_AX4911	88	69	70	85	37	103	69	164
AX4937_vs_AX4894	260	514	129	154	47	308	27	73
AX4938_vs_AX4896	24	10	30	21	7	50	11	5
AX4940_vs_AX4904	143	102	91	333	45	79	44	34
AX4942_vs_AX4898	417	463	646	157	49	114	47	118
AX4943_vs_AX4898	398	577	681	168	57	95	63	108
AX4944_vs_AX4897	340	621	132	288	75	194	423	80
AX4945_vs_AX4898	73	246	190	21	87	153	11	23
AX4946_vs_AX4895	438	1085	2356	58	153	7	114	188
AX4947_vs_AX4895	635	1007	2350	0	0	0	130	171
AX4951_vs_AX4903	66	0	0	0	0	86	0	0
AX4958_vs_AQ5174	544	352	932	892	30	94	52	47
AX4961_vs_AQ5174	516	382	968	872	37	83	47	78
DIAF_vs_BLOOD	230	155	153	221	197	165	41	82
HK_vs_BLOOD	0	0	0	0	0	12	0	6
LNMETA_vs_BLOOD	156	138	128	115	86	157	34	53
LN_vs_BLOOD	96	85	51	97	49	133	29	22
OMEN_vs_BLOOD	127	139	134	124	80	174	35	54
PABKLN-01A_vs_PABKLN-11A	97	244	67	79	42	76	161	44
PADWRZ-01A_vs_PADWRZ-10A	108	48	140	81	42	123	30	49
PADYZI-01A_vs_PADYZI-10A	0	0	0	0	0	0	1152	0
PAEHIP-01A_vs_PAEHIP-10A	0	49	0	0	0	109	0	22
PAJLWM-01A_vs_PAJLWM-11A	0	37	71	0	25	85	21	19
PAJMBW-01A_vs_PAJMBW-10A	61	27	87	82	34	25	250	23
PAJMRB-01A_vs_PAJMRB-11A	0	99	68	0	0	145	0	0
PAJNER-01A_vs_PAJNER-11A	31	65	11	58	2	48	4	22
PAJNFP-01A_vs_PAJNFP-11A	53	82	78	144	59	58	142	66
PAJNFZ-01A_vs_PAJNFZ-10A	104	54	77	79	3	137	101	36
PAKHTL-01A_vs_PAKHTL-11A	154	305	88	0	0	207	33	63
PAKLYZ-01A_vs_PAKLYZ-10A	0	0	622	386	77	46	0	0
PAKTCT-01A_vs_PAKTCT-11A	91	146	123	297	39	140	15	37
PARECB-01A_vs_PARECB-11A	62	56	28	55	5	44	20	6
PAREWI-01A_vs_PAREWI-11A	20	90	8	46	13	76	52	42
PARGRN-01A_vs_PARGRN-10A	0	84	0	100	0	68	34	18
PARIRN-01A_vs_PARIRN-10A	0	178	0	234	0	186	0	44
PARPFY-01A_vs_PARPFY-11A	0	104	108	160	0	101	25	0
PARRCL-01A_vs_PARRCL-11A	51	64	73	78	48	99	66	30
PARTKH-01A_vs_PARTKH-10A	77	44	65	164	16	72	52	48
PARUGK-01A_vs_PARUGK-10A	34	119	14	55	21	91	13	8
PARZBI-01A_vs_PARZBI-11A	83	112	32	135	12	123	55	35
PARZRH-01A_vs_PARZRH-10A	0	237	410	0	77	128	78	0
PASABD-01A_vs_PASABD-10A	18	92	19	67	16	69	23	14
PASADZ-01A_vs_PASADZ-10A	71	71	93	128	8	82	84	55
PASCDH-01A_vs_PASCDH-10A	41	48	24	32	13	70	10	3
PASDLA-01A_vs_PASDLA-11A	9	58	44	61	16	63	15	16
PASGCL-01A_vs_PASGCL-10A	59	166	32	33	35	135	10	43
PASRHU-01A_vs_PASRHU-10A	0	47	49	0	0	117	15	0
PASVDP-01A_vs_PASVDP-10A	69	7	106	11	53	82	26	11
PASWZZ-01A_vs_PASWZZ-10A	43	39	42	0	0	63	11	26
PASXNA-01A_vs_PASXNA-11A	87	29	26	178	12	105	31	28
PASYNF-01A_vs_PASYNF-10A	10	65	48	38	26	117	15	17
PASZYE-01A_vs_PASZYE-10A	82	92	100	47	6	120	16	28
PATAFT-01A_vs_PATAFT-10A	73	64	45	84	29	36	24	27
PATBLF-01A_vs_PATBLF-10A	83	153	228	35	33	140	39	14
PATDVL-01A_vs_PATDVL-10A	59	70	90	0	36	75	25	0
PATENH-01A_vs_PATENH-11A	0	271	128	0	0	219	43	0
PATFXW-01A_vs_PATFXW-10A	24	47	55	128	1	151	50	26
PATFZZ-01A_vs_PATFZZ-10A	18	60	36	233	22	107	53	25
PATXEE-01A_vs_PATXEE-10A	50	90	146	9	20	130	22	16
PATXKA-01A_vs_PATXKA-10A	37	71	86	77	32	52	44	43
PAUCGJ-01A_vs_PAUCGJ-10A	41	192	176	223	10	42	123	19
PAUDPV-01A_vs_PAUDPV-11A	0	106	0	104	0	38	38	0
PAUEKW-01A_vs_PAUEKW-10A	235	252	67	146	73	406	20	68
PAUFVP-01A_vs_PAUFVP-11A	24	157	63	179	30	186	32	33
PAUGYZ-01A_vs_PAUGYZ-10A	0	0	170	114	0	126	0	25
PAUHAZ-01A_vs_PAUHAZ-10A	0	47	0	96	0	94	0	22
PAUNPA-01A_vs_PAUNPA-11A	0	142	367	0	42	174	0	36
PAVCKS-01A_vs_PAVCKS-11A	68	241	125	184	48	222	167	43
PAVITI-01A_vs_PAVITI-10A	85	79	195	56	69	161	38	34
PAVYDM-01A_vs_PAVYDM-11A	74	37	36	180	25	85	24	19
PAVYKD-01A_vs_PAVYKD-10A	26	40	17	99	2	70	22	19
PAWDGA-01A_vs_PAWDGA-11A	9	486	105	90	18	25	12	47
PAWFBL-01A_vs_PAWFBL-11A	0	140	224	117	0	99	0	30
PAWFWK-01A_vs_PAWFWK-10A	66	0	93	0	0	101	15	35
SJBT030128_D1_vs_SJBT030128_G1	0	0	75	0	0	83	0	0
SJBT030255_D1_vs_SJBT030255_G1	115	55	115	481	66	185	74	45
SJBT030581_D1_vs_SJBT030581_G1	96	132	226	54	67	483	1	16
SJBT030707_D2_vs_SJBT030707_G1	25	42	0	0	0	73	0	22
SJBT030896_D1_vs_SJBT030896_G1	0	0	0	0	1629	191	0	0
SJBT030997_D1_vs_SJBT030997_G1	94	49	47	38	28	96	35	13
SJBT031235_D1_vs_SJBT031235_G1	0	0	7	0	0	30	0	0
SJBT031605_D1_vs_SJBT031605_G1	244	155	33	556	112	145	50	73
SJBT031948_D2_vs_SJBT031948_G1	150	132	614	566	3940	28	133	144
SJBT032047_D1_vs_SJBT032047_G1	5	0	0	0	2	0	0	0
SJBT032346_D1_vs_SJBT032346_G1	88	150	96	0	0	328	0	0
SJBT032393_D1_vs_SJBT032393_G1	68	69	156	59	33	521	16	69
SJBT032417_D2_vs_SJBT032417_G1	0	0	0	23	0	72	0	0
SJBT033133_D3_vs_SJBT033133_G1	0	9	0	0	0	0	0	0
SJBT033236_D2_vs_SJBT033236_G1	22	0	0	0	0	35	0	0
SJBT034089_D1_vs_SJBT034089_G1	0	0	0	0	0	46	0	0
SJBT034110_D2_vs_SJBT034110_G1	23	17	0	41	0	38	0	0
SJMRT014754_D1_vs_SJMRT014754_G1	8	34	311	358	270	120	34	35
SJMRT015723_D1_vs_SJMRT015723_G1	101	193	0	98	0	98	36	30
SJMRT063832_X1_vs_SJMRT063832_G1	12082	1781	0	0	2305	367	383	646
