Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1551	0.977	305.212	19.678%	46.985	21.456%	0.03409	0.951
AX4914_vs_AX4895	686	0.956	200.987	29.298%	28.774	29.49%	0.08911	0.906
AX4915_vs_AX4895	2989	0.96	628.564	21.029%	106.698	27.965%	0.03988	0.886
AX4916_vs_AX4896	128	0.868	85.355	66.684%	11.469	49.818%	0.39962	0.799
AX4918_vs_AX4897	2334	0.987	363.489	15.574%	49.299	15.892%	0.0194	0.969
AX4921_vs_AX4898	717	0.976	171.787	23.959%	22.801	21.869%	0.05512	0.952
AX4922_vs_AX4899	4398	0.985	731.323	16.629%	129.99	17.449%	0.02641	0.977
AX4923_vs_AX4906	2563	0.973	529.105	20.644%	73.483	23.181%	0.0355	0.916
AX4924_vs_AX4901	209	0.967	82.573	39.509%	13.549	25.748%	0.24345	0.961
AX4925_vs_AX4901	174	0.891	89.47	51.42%	11.317	45.45%	0.27561	0.763
AX4926_vs_AX4904	181	0.973	78.173	43.19%	14.217	26.296%	0.22971	0.971
AX4927_vs_AX4905	772	0.977	160.405	20.778%	22.163	21.494%	0.04962	0.943
AX4928_vs_AQ5174	1357	0.951	387.046	28.522%	52.142	31.007%	0.0714	0.837
AX4929_vs_AQ5174	258	0.983	73.539	28.503%	12.304	19.727%	0.11048	0.979
AX4930_vs_AX4900	607	0.977	157.753	25.989%	22.131	21.402%	0.0918	0.964
AX4931_vs_AX4907	268	0.926	115.891	43.243%	17.354	38.198%	0.20354	0.882
AX4932_vs_AX4908	532	0.977	146.644	27.565%	19.84	21.384%	0.07971	0.965
AX4933_vs_AX4909	189	0.91	93.415	49.426%	12.461	41.84%	0.27302	0.842
AX4934_vs_AX4909	106	0.837	74.039	69.848%	9.916	55.089%	0.48348	0.732
AX4935_vs_AX4910	768	0.907	327.596	42.656%	58.355	42.165%	0.17317	0.861
AX4936_vs_AX4911	685	0.969	181.17	26.448%	23.34	24.618%	0.06812	0.931
AX4937_vs_AX4894	1512	0.979	280.318	18.54%	43.061	20.502%	0.03002	0.953
AX4938_vs_AX4896	158	0.898	86.409	54.689%	11.112	43.924%	0.27477	0.822
AX4940_vs_AX4904	871	0.944	262.679	30.158%	35.242	33.0%	0.07761	0.81
AX4942_vs_AX4898	2011	0.979	386.238	19.206%	54.047	20.382%	0.03236	0.948
AX4943_vs_AX4898	2147	0.981	381.771	17.782%	54.75	19.354%	0.03	0.953
AX4944_vs_AX4897	2153	0.989	312.529	14.516%	43.079	15.025%	0.01914	0.973
AX4945_vs_AX4898	804	0.978	183.464	22.819%	23.958	20.869%	0.04939	0.955
AX4946_vs_AX4895	4399	0.997	349.377	7.942%	49.293	8.042%	0.00558	0.993
AX4947_vs_AX4895	4293	0.996	355.033	8.27%	54.605	9.18%	0.00598	0.991
AX4951_vs_AX4903	152	0.928	82.054	53.983%	11.405	37.199%	0.47543	0.903
AX4958_vs_AQ5174	2943	0.989	390.107	13.255%	53.821	14.63%	0.01574	0.967
AX4961_vs_AQ5174	2983	0.991	382.672	12.828%	50.713	13.734%	0.01634	0.971
DIAF_vs_BLOOD	1244	0.98	240.723	19.351%	31.634	20.111%	0.03499	0.94
HK_vs_BLOOD	18	0.711	20.319	112.883%	4.105	70.4%	1.36983	0.672
LNMETA_vs_BLOOD	867	0.975	204.293	23.563%	25.514	22.267%	0.05431	0.937
LN_vs_BLOOD	562	0.963	162.329	28.884%	20.676	26.872%	0.08654	0.915
OMEN_vs_BLOOD	867	0.975	204.542	23.592%	26.017	22.37%	0.05523	0.939
PABKLN-01A_vs_PABKLN-11A	810	0.964	203.237	25.091%	29.592	26.54%	0.05977	0.919
PADWRZ-01A_vs_PADWRZ-10A	621	0.962	175.898	28.325%	22.887	27.396%	0.07209	0.907
PADYZI-01A_vs_PADYZI-10A	1152	0.996	133.854	11.619%	36.332	10.015%	0.00993	0.996
