Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
AX4912_vs_AX4894	22	51	150	74	47	7	0	0	10	0
AX4914_vs_AX4895	12	11	190	16	2	12	5	3	19	0
AX4915_vs_AX4895	28	0	178	163	13	24	7	47	23	0
AX4916_vs_AX4896	0	0	202	0	59	27	15	102	0	0
AX4918_vs_AX4897	13	14	151	39	0	1	9	50	15	0
AX4921_vs_AX4898	22	0	180	182	6	46	0	77	4	0
AX4923_vs_AX4906	10	12	150	0	48	26	43	0	0	7
AX4925_vs_AX4901	29	1	228	35	80	28	0	0	31	257
AX4927_vs_AX4905	282	205	180	0	0	24	0	12	34	236
AX4928_vs_AQ5174	7	0	191	0	29	43	17	0	13	18
AX4930_vs_AX4900	6	0	184	212	0	29	4	52	12	0
AX4932_vs_AX4908	0	37	173	0	48	60	0	1	0	0
AX4933_vs_AX4909	73	28	49	0	0	0	797	10	0	0
AX4934_vs_AX4909	23	0	156	0	37	33	22	0	0	154
AX4935_vs_AX4910	1578	0	21	118	16	47	22	43	0	0
AX4937_vs_AX4894	4	10	0	95	63	16	36	17	5	25
AX4938_vs_AX4896	7	8	1	0	18	13	8	38	0	0
AX4940_vs_AX4904	0	28	0	0	41	17	40	0	3	0
AX4942_vs_AX4898	7	17	15	25	1	3	14	23	2	0
AX4943_vs_AX4898	0	0	10	47	0	5	0	7	0	0
AX4944_vs_AX4897	34	28	34	193	0	53	0	126	105	48
AX4945_vs_AX4898	2	5	7	7	0	0	0	4	2	0
AX4946_vs_AX4895	14	0	10	0	70	3	29	320	11	0
AX4947_vs_AX4895	0	0	9	80	0	0	72	190	19	0
AX4951_vs_AX4903	49	0	14	172	0	277	166	0	2	0
AX4958_vs_AQ5174	2	16	21	10	52	0	0	111	1	89
AX4961_vs_AQ5174	8	4	1	35	48	0	10	92	4	50
DIAF_vs_BLOOD	134	394	12	104	82	44	192	36	22	45
LNMETA_vs_BLOOD	327	852	106	161	151	48	199	0	87	0
LN_vs_BLOOD	51	50	53	19	62	167	138	66	683	27
OMEN_vs_BLOOD	82	346	36	11	0	50	51	63	19	0
PADWRZ-01A_vs_PADWRZ-10A	0	3	1	0	0	0	0	29	1	0
PADYZI-01A_vs_PADYZI-10A	0	41	13	25	38	16	14	8	43	17
PAEHIP-01A_vs_PAEHIP-10A	11	0	11	0	0	15	0	35	20	18
PAJLWM-01A_vs_PAJLWM-11A	9	4	0	33	3	13	2	2	4	0
PAJNFP-01A_vs_PAJNFP-11A	8	16	11	2	44	9	0	0	140	6
PAKHTL-01A_vs_PAKHTL-11A	0	0	0	48	0	3	0	0	15	0
PAKLYZ-01A_vs_PAKLYZ-10A	7	0	6	28	41	25	0	67	1	0
PAKTCT-01A_vs_PAKTCT-11A	1	0	5	4	4	0	0	0	3	25
PARECB-01A_vs_PARECB-11A	2	4	1	0	0	5	0	9	0	0
PAREWI-01A_vs_PAREWI-11A	0	11	0	77	16	7	32	0	40	0
PARGRN-01A_vs_PARGRN-10A	8	0	5	73	0	0	15	19	129	0
PARIRN-01A_vs_PARIRN-10A	2	0	2	0	8	11	8	7	11	14
PARPFY-01A_vs_PARPFY-11A	9	0	13	0	8	0	21	55	20	0
PARZRH-01A_vs_PARZRH-10A	0	2	3	7	15	0	0	1	1	2
PASABD-01A_vs_PASABD-10A	0	22	3	44	0	20	0	0	6	26
PASADZ-01A_vs_PASADZ-10A	1	0	4	0	0	0	6	12	2	0
PASCDH-01A_vs_PASCDH-10A	17	0	7	108	29	83	27	8	56	0
PASDLA-01A_vs_PASDLA-11A	2	0	0	26	0	3	0	0	3	0
PASVDP-01A_vs_PASVDP-10A	2	0	6	0	5	6	1	23	1	10
PASWZZ-01A_vs_PASWZZ-10A	4	0	3	0	23	13	0	0	21	0
PASXNA-01A_vs_PASXNA-11A	0	2	0	3	2	0	1	6	0	0
PATAFT-01A_vs_PATAFT-10A	0	10	6	20	46	2	0	0	5	47
PATDVL-01A_vs_PATDVL-10A	0	0	2	0	0	5	1	6	4	0
PATENH-01A_vs_PATENH-11A	0	0	3	0	7	11	17	5	21	0
PATFXW-01A_vs_PATFXW-10A	0	0	0	0	0	17	0	9	18	58
PATFZZ-01A_vs_PATFZZ-10A	11	22	9	19	3	21	6	9	23	0
PATXEE-01A_vs_PATXEE-10A	18	0	0	62	0	75	52	78	8	67
PAUEKW-01A_vs_PAUEKW-10A	3	0	5	13	0	16	0	0	1	0
PAUFVP-01A_vs_PAUFVP-11A	0	12	9	26	0	6	2	5	0	3
PAUGYZ-01A_vs_PAUGYZ-10A	2	6	1	0	4	6	29	44	5	0
PAUHAZ-01A_vs_PAUHAZ-10A	7	0	3	0	33	18	0	19	1	17
PAVCKS-01A_vs_PAVCKS-11A	2	0	4	34	0	3	0	0	0	5
PAVYKD-01A_vs_PAVYKD-10A	0	0	3	16	0	2	0	12	5	0
PAWFBL-01A_vs_PAWFBL-11A	3	0	2	5	10	2	0	0	0	13
PAWFWK-01A_vs_PAWFWK-10A	11	17	0	0	0	17	0	53	0	0
