Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
AX4912_vs_AX4894	1.21E+00	2.78E+00	2.24E+00	2.68E+00	3.60E+00	6.82E-01	1.78E+00	1.96E+00	8.03E-01	3.42E+00
AX4914_vs_AX4895	6.75E-01	1.01E+00	2.01E+00	1.97E+00	1.83E+00	8.43E-01	1.41E+00	8.48E-01	1.15E+00	1.96E+00
AX4915_vs_AX4895	1.22E+00	1.97E+00	2.82E+00	5.31E+00	3.31E+00	1.35E+00	2.48E+00	4.55E+00	1.05E+00	3.83E+00
AX4916_vs_AX4896	6.68E-01	1.19E+00	2.69E+00	2.36E+00	2.97E+00	1.16E+00	1.77E+00	3.18E+00	4.24E-01	3.77E+00
AX4918_vs_AX4897	9.11E-01	1.45E+00	2.06E+00	2.42E+00	7.96E-01	3.10E-01	2.12E+00	2.38E+00	5.69E-01	2.72E+00
AX4921_vs_AX4898	1.19E+00	1.04E+00	2.72E+00	5.95E+00	3.78E+00	1.74E+00	1.91E+00	5.30E+00	4.45E-02	3.87E+00
AX4923_vs_AX4906	1.01E+00	1.87E+00	2.51E+00	2.13E+00	3.17E+00	1.36E+00	2.51E+00	9.84E-01	4.90E-01	3.60E+00
AX4925_vs_AX4901	1.94E+00	3.56E+00	3.37E+00	4.27E+00	4.91E+00	1.48E+00	3.42E+00	2.92E+00	1.48E+00	5.48E+00
AX4927_vs_AX4905	3.75E+00	7.71E+00	3.43E+00	6.08E+00	6.48E+00	2.19E+00	5.07E+00	5.10E+00	1.24E+00	8.97E+00
AX4928_vs_AQ5174	7.15E-01	8.24E-01	2.11E+00	1.78E+00	2.25E+00	1.37E+00	1.39E+00	8.41E-01	7.37E-01	2.61E+00
AX4930_vs_AX4900	4.37E-01	3.65E-01	4.21E+00	8.29E+00	3.48E+00	1.61E+00	2.86E+00	6.89E+00	7.56E-01	5.89E+00
AX4932_vs_AX4908	1.38E-01	1.99E+00	2.47E+00	1.56E+00	2.58E+00	1.38E+00	1.48E+00	1.07E+00	5.35E-01	2.68E+00
AX4933_vs_AX4909	5.75E+00	9.12E+00	4.16E+00	4.96E+00	8.94E+00	2.35E-01	1.39E+01	3.09E+00	0.00E+00	8.59E+00
AX4934_vs_AX4909	1.23E+00	2.35E+00	3.09E+00	2.65E+00	3.31E+00	1.59E+00	2.35E+00	2.34E+00	0.00E+00	4.30E+00
AX4935_vs_AX4910	9.39E+00	3.73E+00	4.55E+00	9.09E+00	4.57E+00	2.49E+00	1.55E+00	6.96E+00	5.49E-01	3.37E+00
AX4937_vs_AX4894	7.18E-01	2.34E+00	1.44E-01	3.37E+00	3.36E+00	1.02E+00	3.14E+00	2.93E+00	5.71E-01	3.60E+00
AX4938_vs_AX4896	5.46E-01	8.10E-01	1.68E-01	1.02E+00	1.51E+00	5.77E-01	1.13E+00	1.69E+00	2.83E-01	1.16E+00
AX4940_vs_AX4904	7.23E-02	1.99E+00	1.82E-01	1.90E+00	2.71E+00	9.13E-01	2.39E+00	1.10E+00	4.78E-01	2.60E+00
AX4942_vs_AX4898	6.42E-01	1.37E+00	8.64E-01	1.66E+00	1.37E+00	3.27E-01	1.08E+00	1.93E+00	2.70E-01	1.64E+00
AX4943_vs_AX4898	3.01E-01	5.98E-01	7.28E-01	1.59E+00	7.31E-01	4.87E-01	5.09E-01	1.44E+00	1.53E-01	1.10E+00
AX4944_vs_AX4897	1.53E+00	3.19E+00	1.99E+00	7.44E+00	3.43E+00	1.96E+00	2.86E+00	5.99E+00	1.94E+00	5.46E+00
AX4945_vs_AX4898	3.34E-01	4.62E-01	3.49E-01	6.27E-01	3.51E-01	1.59E-01	3.09E-01	6.04E-01	2.01E-01	4.92E-01
AX4946_vs_AX4895	9.81E-01	2.73E+00	1.21E+00	7.14E+00	5.51E+00	6.29E-01	2.47E+00	6.81E+00	7.93E-01	4.61E+00
AX4947_vs_AX4895	6.74E-01	1.16E+00	9.90E-01	8.48E+00	2.75E+00	1.05E-01	3.59E+00	8.06E+00	9.01E-01	6.94E+00
AX4951_vs_AX4903	2.10E+00	2.99E+00	1.80E+00	8.22E+00	5.05E+00	4.61E+00	5.91E+00	1.83E+00	7.93E-01	6.87E+00
AX4958_vs_AQ5174	6.14E-01	2.71E+00	1.24E+00	4.36E+00	4.05E+00	3.85E-01	2.10E+00	4.46E+00	1.94E-01	4.78E+00
AX4961_vs_AQ5174	7.19E-01	2.13E+00	6.50E-01	4.25E+00	3.22E+00	2.34E-01	2.68E+00	4.01E+00	4.02E-01	3.71E+00
DIAF_vs_BLOOD	4.06E+00	9.49E+00	2.15E+00	7.97E+00	6.75E+00	1.73E+00	9.16E+00	5.37E+00	1.32E+00	9.28E+00
LNMETA_vs_BLOOD	7.63E+00	1.73E+01	4.99E+00	1.47E+01	1.42E+01	2.48E+00	1.90E+01	6.57E+00	2.89E+00	1.47E+01
LN_vs_BLOOD	3.04E+00	4.79E+00	2.75E+00	5.33E+00	7.38E+00	3.03E+00	5.59E+00	5.42E+00	5.79E+00	6.26E+00
OMEN_vs_BLOOD	3.44E+00	7.57E+00	2.01E+00	5.00E+00	2.97E+00	1.77E+00	6.25E+00	4.18E+00	1.33E+00	5.73E+00
PADWRZ-01A_vs_PADWRZ-10A	0.00E+00	5.45E-01	1.33E-01	5.10E-01	7.14E-01	7.87E-02	4.02E-01	9.44E-01	1.93E-01	5.02E-01
PADYZI-01A_vs_PADYZI-10A	5.77E-01	2.24E+00	9.22E-01	2.39E+00	2.48E+00	7.76E-01	1.31E+00	1.62E+00	1.49E+00	2.54E+00
PAEHIP-01A_vs_PAEHIP-10A	6.04E-01	7.87E-01	7.58E-01	1.19E+00	1.04E+00	7.03E-01	3.48E-01	1.37E+00	7.72E-01	1.70E+00
PAJLWM-01A_vs_PAJLWM-11A	5.53E-01	7.10E-01	2.39E-01	1.34E+00	1.13E+00	7.38E-01	6.62E-01	9.70E-01	3.66E-01	1.03E+00
PAJNFP-01A_vs_PAJNFP-11A	6.34E-01	1.43E+00	6.50E-01	1.60E+00	2.23E+00	6.31E-01	5.17E-01	9.85E-01	2.56E+00	1.80E+00
