Samples	SBS96A	SBS96B	SBS96C	SBS96D
AX4912_vs_AX4894	3.01E+00	1.58E+00	3.14E+00	2.24E+00
AX4914_vs_AX4895	1.56E+00	8.99E-01	2.69E+00	1.98E+00
AX4915_vs_AX4895	3.25E+00	1.52E+00	4.18E+00	3.43E+00
AX4916_vs_AX4896	3.49E+00	9.54E-01	3.93E+00	3.39E+00
AX4918_vs_AX4897	2.51E+00	1.03E+00	3.15E+00	2.04E+00
AX4921_vs_AX4898	4.38E+00	1.39E+00	4.19E+00	4.70E+00
AX4923_vs_AX4906	2.10E+00	1.28E+00	2.90E+00	2.88E+00
AX4925_vs_AX4901	3.91E+00	2.22E+00	4.29E+00	3.34E+00
AX4927_vs_AX4905	5.55E+00	3.79E+00	3.63E+00	3.34E+00
AX4928_vs_AQ5174	8.29E-01	1.13E+00	3.27E+00	2.82E+00
AX4930_vs_AX4900	3.88E+00	1.01E+00	4.75E+00	4.59E+00
AX4932_vs_AX4908	1.61E+00	9.85E-01	3.19E+00	3.33E+00
AX4933_vs_AX4909	1.19E+01	4.65E+00	8.15E+00	8.12E+00
AX4934_vs_AX4909	3.71E+00	1.29E+00	4.35E+00	4.79E+00
AX4935_vs_AX4910	0.00E+00	5.71E+00	4.79E+00	4.15E+00
AX4937_vs_AX4894	2.80E+00	1.27E+00	1.30E+00	2.57E+00
AX4938_vs_AX4896	1.20E+00	8.21E-01	7.66E-01	1.11E+00
AX4940_vs_AX4904	2.05E+00	6.17E-01	1.08E+00	1.64E+00
AX4942_vs_AX4898	1.52E+00	7.82E-01	1.02E+00	7.57E-01
AX4943_vs_AX4898	1.15E+00	3.97E-01	9.02E-01	9.88E-01
AX4944_vs_AX4897	5.80E+00	1.67E+00	3.12E+00	4.94E+00
AX4945_vs_AX4898	5.85E-01	4.62E-01	4.82E-01	4.24E-01
AX4946_vs_AX4895	4.60E+00	1.44E+00	1.61E+00	4.52E+00
AX4947_vs_AX4895	3.71E+00	1.20E+00	1.97E+00	3.06E+00
AX4951_vs_AX4903	6.21E+00	2.15E+00	1.10E+01	1.44E+01
AX4958_vs_AQ5174	3.03E+00	1.09E+00	1.51E+00	2.52E+00
AX4961_vs_AQ5174	2.45E+00	1.12E+00	1.27E+00	2.00E+00
DIAF_vs_BLOOD	9.71E+00	6.52E+00	6.06E+00	5.41E+00
LNMETA_vs_BLOOD	1.42E+01	9.91E+00	8.38E+00	7.70E+00
LN_vs_BLOOD	3.27E+01	3.37E+00	8.80E+00	3.01E+01
OMEN_vs_BLOOD	5.68E+00	4.24E+00	3.57E+00	3.41E+00
PADWRZ-01A_vs_PADWRZ-10A	4.68E-01	1.98E-01	3.01E-01	3.37E-01
PADYZI-01A_vs_PADYZI-10A	2.77E+00	1.10E+00	1.26E+00	2.65E+00
PAEHIP-01A_vs_PAEHIP-10A	1.41E+00	7.18E-01	1.04E+00	1.20E+00
PAJLWM-01A_vs_PAJLWM-11A	1.16E+00	5.81E-01	8.32E-01	1.29E+00
PAJNFP-01A_vs_PAJNFP-11A	7.71E+00	1.02E+00	2.44E+00	7.72E+00
PAKHTL-01A_vs_PAKHTL-11A	1.84E+00	1.41E-02	7.67E-01	1.70E+00
PAKLYZ-01A_vs_PAKLYZ-10A	2.40E+00	7.98E-01	1.56E+00	2.65E+00
PAKTCT-01A_vs_PAKTCT-11A	9.16E-01	5.24E-01	8.45E-01	5.27E-01
PARECB-01A_vs_PARECB-11A	3.85E-01	4.24E-01	4.15E-01	4.69E-01
PAREWI-01A_vs_PAREWI-11A	2.76E+00	5.96E-01	1.14E+00	2.52E+00
PARGRN-01A_vs_PARGRN-10A	6.15E+00	1.03E+00	1.77E+00	6.26E+00
PARIRN-01A_vs_PARIRN-10A	1.03E+00	4.43E-01	6.75E-01	8.78E-01
PARPFY-01A_vs_PARPFY-11A	1.70E+00	9.11E-01	1.01E+00	1.39E+00
PARZRH-01A_vs_PARZRH-10A	7.63E-01	2.86E-01	5.21E-01	5.85E-01
PASABD-01A_vs_PASABD-10A	1.38E+00	6.37E-01	1.26E+00	1.39E+00
PASADZ-01A_vs_PASADZ-10A	5.59E-01	3.25E-01	5.21E-01	2.97E-01
PASCDH-01A_vs_PASCDH-10A	3.69E+00	1.12E+00	2.99E+00	2.72E+00
PASDLA-01A_vs_PASDLA-11A	6.68E-01	3.49E-01	4.19E-01	5.69E-01
PASVDP-01A_vs_PASVDP-10A	1.18E+00	4.39E-01	9.29E-01	9.25E-01
PASWZZ-01A_vs_PASWZZ-10A	1.28E+00	4.32E-01	7.52E-01	1.13E+00
PASXNA-01A_vs_PASXNA-11A	3.69E-01	3.41E-01	7.00E-02	1.49E-01
PATAFT-01A_vs_PATAFT-10A	1.83E+00	9.09E-01	1.34E+00	1.21E+00
PATDVL-01A_vs_PATDVL-10A	3.94E-01	1.87E-01	5.11E-01	3.86E-01
PATENH-01A_vs_PATENH-11A	1.23E+00	2.70E-01	7.25E-01	1.06E+00
PATFXW-01A_vs_PATFXW-10A	1.57E+00	3.47E-01	9.32E-01	1.38E+00
PATFZZ-01A_vs_PATFZZ-10A	1.79E+00	7.98E-01	1.14E+00	1.45E+00
PATXEE-01A_vs_PATXEE-10A	3.56E+00	1.21E+00	3.37E+00	4.58E+00
PAUEKW-01A_vs_PAUEKW-10A	2.90E-01	2.56E-01	7.74E-01	8.73E-01
PAUFVP-01A_vs_PAUFVP-11A	1.04E+00	4.61E-01	9.32E-01	8.25E-01
PAUGYZ-01A_vs_PAUGYZ-10A	1.26E+00	6.54E-01	6.04E-01	1.06E+00
