Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
AX4912_vs_AX4894	51	35	56	182	18	19
AX4914_vs_AX4895	0	14	0	216	16	24
AX4915_vs_AX4895	1	36	156	215	44	31
AX4916_vs_AX4896	14	2	111	241	37	0
AX4918_vs_AX4897	14	17	64	174	4	19
AX4921_vs_AX4898	0	27	193	218	71	8
AX4923_vs_AX4906	63	19	0	176	37	1
AX4925_vs_AX4901	116	53	109	293	66	52
AX4927_vs_AX4905	235	378	39	217	53	51
AX4928_vs_AQ5174	12	11	0	222	56	17
AX4930_vs_AX4900	0	9	193	226	53	18
AX4932_vs_AX4908	23	5	3	206	80	2
AX4933_vs_AX4909	649	171	15	117	5	0
AX4934_vs_AX4909	73	39	50	203	60	0
AX4935_vs_AX4910	0	1797	0	0	48	0
AX4937_vs_AX4894	94	16	110	3	36	12
AX4938_vs_AX4896	15	13	44	3	18	0
AX4940_vs_AX4904	97	0	0	0	25	7
AX4942_vs_AX4898	26	12	40	20	6	3
AX4943_vs_AX4898	2	1	39	15	10	2
AX4944_vs_AX4897	7	54	276	57	88	139
AX4945_vs_AX4898	0	4	11	9	1	2
AX4946_vs_AX4895	26	24	368	22	5	12
AX4947_vs_AX4895	46	4	265	28	2	25
AX4951_vs_AX4903	168	77	26	39	362	8
AX4958_vs_AQ5174	55	13	185	37	6	6
AX4961_vs_AQ5174	50	16	161	12	5	8
DIAF_vs_BLOOD	574	233	115	27	80	36
LNMETA_vs_BLOOD	935	538	99	122	99	138
LN_vs_BLOOD	65	83	19	68	213	868
OMEN_vs_BLOOD	310	155	60	35	70	28
PADWRZ-01A_vs_PADWRZ-10A	3	0	29	1	0	1
PADYZI-01A_vs_PADYZI-10A	69	8	33	18	27	60
PAEHIP-01A_vs_PAEHIP-10A	0	15	35	14	21	25
PAJLWM-01A_vs_PAJLWM-11A	10	12	22	0	20	6
PAJNFP-01A_vs_PAJNFP-11A	4	13	1	14	14	190
PAKHTL-01A_vs_PAKHTL-11A	11	0	16	3	11	25
PAKLYZ-01A_vs_PAKLYZ-10A	0	10	113	13	36	3
PAKTCT-01A_vs_PAKTCT-11A	8	3	15	9	2	5
PARECB-01A_vs_PARECB-11A	0	4	8	2	7	0
PAREWI-01A_vs_PAREWI-11A	57	4	50	2	17	53
PARGRN-01A_vs_PARGRN-10A	0	11	61	11	0	166
PARIRN-01A_vs_PARIRN-10A	9	4	14	5	16	15
PARPFY-01A_vs_PARPFY-11A	15	14	55	17	0	25
PARZRH-01A_vs_PARZRH-10A	1	1	17	7	2	3
PASABD-01A_vs_PASABD-10A	35	1	32	8	33	12
PASADZ-01A_vs_PASADZ-10A	2	2	13	5	0	3
PASCDH-01A_vs_PASCDH-10A	24	26	76	18	116	75
PASDLA-01A_vs_PASDLA-11A	2	4	14	2	7	5
PASVDP-01A_vs_PASVDP-10A	3	4	28	9	9	1
PASWZZ-01A_vs_PASWZZ-10A	4	6	0	5	19	30
PASXNA-01A_vs_PASXNA-11A	5	1	8	0	0	0
PATAFT-01A_vs_PATAFT-10A	55	5	40	14	11	11
PATDVL-01A_vs_PATDVL-10A	0	0	4	3	6	5
PATENH-01A_vs_PATENH-11A	13	1	4	6	14	26
PATFXW-01A_vs_PATFXW-10A	18	0	25	5	27	27
PATFZZ-01A_vs_PATFZZ-10A	26	16	13	11	28	29
PATXEE-01A_vs_PATXEE-10A	39	35	157	8	109	12
PAUEKW-01A_vs_PAUEKW-10A	0	4	4	7	22	1
PAUFVP-01A_vs_PAUFVP-11A	14	2	24	13	10	0
PAUGYZ-01A_vs_PAUGYZ-10A	30	7	45	3	7	5
PAUHAZ-01A_vs_PAUHAZ-10A	7	12	39	7	28	5
PAVCKS-01A_vs_PAVCKS-11A	6	4	22	8	8	0
PAVYKD-01A_vs_PAVYKD-10A	0	0	23	5	4	6
PAWFBL-01A_vs_PAWFBL-11A	6	6	12	5	5	1
PAWFWK-01A_vs_PAWFWK-10A	13	16	47	0	22	0
SJBT030128_D1_vs_SJBT030128_G1	3	7	26	7	19	0
SJBT030255_D1_vs_SJBT030255_G1	19	30	16	15	11	22
SJBT030581_D1_vs_SJBT030581_G1	5	2	5	1	1	0
SJBT030997_D1_vs_SJBT030997_G1	1	1	54	0	32	19
SJBT031235_D1_vs_SJBT031235_G1	0	2	6	20	90	3
SJBT031605_D1_vs_SJBT031605_G1	849	323	548	135	169	250
SJBT031948_D2_vs_SJBT031948_G1	490	724	48	43	3	131
SJBT032346_D1_vs_SJBT032346_G1	0	0	11	9	9	1
SJBT032393_D1_vs_SJBT032393_G1	23	97	204	40	974	56
SJBT032417_D2_vs_SJBT032417_G1	36	115	25	3	40	29
SJBT033236_D2_vs_SJBT033236_G1	0	0	0	4	34	0
SJBT034089_D1_vs_SJBT034089_G1	0	1	0	0	32	2
SJBT034110_D2_vs_SJBT034110_G1	22	12	8	16	55	5
SJMRT014754_D1_vs_SJMRT014754_G1	85	42	32	57	4	0
SJMRT015723_D1_vs_SJMRT015723_G1	73	116	106	14	62	40
SJMRT063832_X1_vs_SJMRT063832_G1	9	1	0	0	3	0
