Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
AX4912_vs_AX4894	2.52E+00	1.41E+00	2.35E+00	2.21E+00	1.02E+00	1.61E+00
AX4914_vs_AX4895	1.38E+00	8.56E-01	1.10E+00	1.81E+00	9.71E-01	1.49E+00
AX4915_vs_AX4895	2.02E+00	1.29E+00	2.75E+00	2.46E+00	1.60E+00	1.38E+00
AX4916_vs_AX4896	1.50E+00	7.81E-01	2.25E+00	2.34E+00	1.36E+00	5.84E-01
AX4918_vs_AX4897	1.56E+00	9.91E-01	1.80E+00	1.88E+00	5.42E-01	7.58E-01
AX4921_vs_AX4898	1.93E+00	1.24E+00	3.12E+00	2.01E+00	1.73E+00	8.80E-01
AX4923_vs_AX4906	2.16E+00	1.17E+00	8.24E-01	2.08E+00	1.35E+00	6.49E-01
AX4925_vs_AX4901	3.91E+00	2.17E+00	3.12E+00	2.96E+00	1.66E+00	2.16E+00
AX4927_vs_AX4905	5.46E+00	3.41E+00	4.73E+00	2.89E+00	2.11E+00	1.59E+00
AX4928_vs_AQ5174	1.77E+00	9.20E-01	4.38E-01	2.16E+00	1.45E+00	9.68E-01
AX4930_vs_AX4900	1.17E+00	7.89E-01	3.22E+00	2.68E+00	1.72E+00	1.01E+00
AX4932_vs_AX4908	2.08E+00	7.33E-01	1.31E+00	2.12E+00	1.54E+00	9.53E-01
AX4933_vs_AX4909	8.81E+00	3.59E+00	6.54E+00	3.65E+00	4.36E-01	0.00E+00
AX4934_vs_AX4909	2.79E+00	1.22E+00	2.23E+00	2.64E+00	1.71E+00	4.00E-02
AX4935_vs_AX4910	2.31E-01	5.38E+00	1.61E+00	4.24E+00	3.46E+00	8.12E-01
AX4937_vs_AX4894	2.52E+00	1.17E+00	2.48E+00	3.40E-01	1.28E+00	1.29E+00
AX4938_vs_AX4896	9.72E-01	6.64E-01	1.15E+00	2.44E-01	6.92E-01	3.72E-01
