Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
AX4912_vs_AX4894	1.35E+00	2.96E+00	2.36E+00	2.57E+00	2.18E+00	9.47E-01	1.25E+00
AX4914_vs_AX4895	8.29E-01	1.20E+00	1.21E+00	1.47E+00	1.76E+00	8.90E-01	1.42E+00
AX4915_vs_AX4895	1.28E+00	2.03E+00	2.12E+00	2.75E+00	2.42E+00	1.52E+00	1.30E+00
AX4916_vs_AX4896	7.45E-01	1.92E+00	2.09E+00	2.45E+00	2.38E+00	1.34E+00	5.21E-01
AX4918_vs_AX4897	9.48E-01	1.48E+00	1.73E+00	1.97E+00	1.87E+00	5.06E-01	6.97E-01
AX4921_vs_AX4898	1.24E+00	2.13E+00	2.81E+00	2.69E+00	2.10E+00	1.76E+00	3.67E-01
AX4923_vs_AX4906	1.12E+00	2.13E+00	7.23E-01	2.67E+00	2.02E+00	1.31E+00	6.13E-01
AX4925_vs_AX4901	2.17E+00	4.07E+00	3.30E+00	4.58E+00	2.89E+00	1.61E+00	1.97E+00
AX4927_vs_AX4905	3.84E+00	7.95E+00	3.53E+00	6.67E+00	2.76E+00	2.03E+00	1.41E+00
AX4928_vs_AQ5174	9.41E-01	1.30E+00	3.99E-01	1.86E+00	2.00E+00	1.35E+00	8.96E-01
AX4930_vs_AX4900	8.36E-01	1.14E+00	2.86E+00	2.83E+00	2.69E+00	1.59E+00	9.13E-01
AX4932_vs_AX4908	3.29E-01	2.13E+00	9.85E-01	2.21E+00	2.08E+00	1.48E+00	8.50E-01
AX4933_vs_AX4909	4.78E+00	1.78E+01	3.07E+00	1.98E+01	3.96E+00	3.73E-01	0.00E+00
AX4934_vs_AX4909	1.28E+00	2.89E+00	2.19E+00	3.06E+00	2.54E+00	1.58E+00	0.00E+00
AX4935_vs_AX4910	6.73E+00	1.93E+00	4.65E+00	1.25E+00	2.85E+00	3.31E+00	7.53E-01
AX4937_vs_AX4894	1.11E+00	2.98E+00	2.35E+00	2.87E+00	2.37E-01	1.22E+00	1.01E+00
