Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	361	0.955	121.487	33.653%	16.383	29.66%	0.126	0.918
AX4914_vs_AX4895	270	0.968	95.784	35.476%	13.068	25.02%	0.14852	0.956
AX4915_vs_AX4895	483	0.967	133.372	27.613%	18.999	25.5%	0.08464	0.941
AX4916_vs_AX4896	405	0.939	153.257	37.841%	24.962	34.553%	0.15011	0.909
AX4918_vs_AX4897	292	0.953	104.861	35.911%	15.168	30.215%	0.15738	0.927
AX4921_vs_AX4898	517	0.962	146.753	28.385%	21.663	27.282%	0.07495	0.931
AX4923_vs_AX4906	296	0.958	104.85	35.422%	14.497	28.731%	0.15565	0.933
AX4925_vs_AX4901	689	0.972	175.048	25.406%	22.46	23.567%	0.07332	0.94
AX4927_vs_AX4905	973	0.977	223.022	22.921%	28.695	21.14%	0.06002	0.951
AX4928_vs_AQ5174	318	0.98	89.083	28.014%	11.439	19.811%	0.11984	0.971
AX4930_vs_AX4900	499	0.959	169.945	34.057%	23.019	28.549%	0.12311	0.931
AX4932_vs_AX4908	319	0.962	113.472	35.571%	15.922	27.262%	0.15727	0.945
AX4933_vs_AX4909	957	0.962	260.352	27.205%	35.68	27.52%	0.06612	0.909
AX4934_vs_AX4909	425	0.95	154.167	36.275%	20.968	31.212%	0.13246	0.913
AX4935_vs_AX4910	1845	0.997	168.83	9.151%	34.451	8.571%	0.00817	0.996
AX4937_vs_AX4894	271	0.909	108.777	40.139%	14.919	42.08%	0.1712	0.755
AX4938_vs_AX4896	93	0.826	66.17	71.151%	9.225	56.884%	0.51202	0.727
AX4940_vs_AX4904	129	0.788	87.365	67.725%	13.044	61.696%	0.42448	0.625
AX4942_vs_AX4898	107	0.776	75.001	70.094%	11.122	63.067%	0.4921	0.596
AX4943_vs_AX4898	69	0.775	57.8	83.768%	8.486	63.427%	0.59509	0.673
AX4944_vs_AX4897	621	0.958	177.561	28.593%	24.637	28.83%	0.07757	0.903
AX4945_vs_AX4898	27	0.652	32.128	118.993%	4.758	76.189%	1.04963	0.542
AX4946_vs_AX4895	457	0.95	141.177	30.892%	22.092	31.315%	0.08922	0.909
AX4947_vs_AX4895	370	0.915	166.701	45.054%	23.229	40.436%	0.17835	0.844
AX4951_vs_AX4903	680	0.97	199.62	29.356%	28.167	24.492%	0.09209	0.953
AX4958_vs_AQ5174	302	0.919	134.828	44.645%	17.413	39.372%	0.19655	0.836
AX4961_vs_AQ5174	252	0.919	106.63	42.313%	14.339	39.497%	0.20208	0.831
DIAF_vs_BLOOD	1065	0.978	211.463	19.856%	28.295	20.832%	0.03583	0.941
LNMETA_vs_BLOOD	1931	0.987	286.617	14.843%	38.056	15.795%	0.02249	0.962
LN_vs_BLOOD	1316	0.991	174.297	13.244%	27.874	13.677%	0.0179	0.984
OMEN_vs_BLOOD	658	0.96	171.491	26.062%	24.274	27.929%	0.06881	0.9
PADWRZ-01A_vs_PADWRZ-10A	34	0.756	33.092	97.329%	4.935	65.947%	0.80068	0.679
PADYZI-01A_vs_PADYZI-10A	215	0.9	98.026	45.593%	12.702	43.491%	0.18351	0.752
PAEHIP-01A_vs_PAEHIP-10A	110	0.863	64.867	58.97%	8.567	50.482%	0.37218	0.74
PAJLWM-01A_vs_PAJLWM-11A	70	0.762	59.57	85.1%	9.271	65.556%	0.64627	0.676
PAJNFP-01A_vs_PAJNFP-11A	236	0.952	85.601	36.272%	11.973	31.018%	0.1385	0.92
PAKHTL-01A_vs_PAKHTL-11A	66	0.669	66.098	100.148%	9.86	74.323%	0.80276	0.506
PAKLYZ-01A_vs_PAKLYZ-10A	175	0.844	107.459	61.405%	15.481	53.703%	0.38525	0.732
PAKTCT-01A_vs_PAKTCT-11A	42	0.63	47.658	113.471%	6.772	77.68%	1.00787	0.455
PARECB-01A_vs_PARECB-11A	21	0.616	27.828	132.514%	3.944	78.88%	1.28925	0.491
PAREWI-01A_vs_PAREWI-11A	183	0.868	97.293	53.166%	13.319	49.741%	0.29532	0.721
PARGRN-01A_vs_PARGRN-10A	249	0.924	110.464	44.363%	15.886	38.293%	0.19638	0.875
PARIRN-01A_vs_PARIRN-10A	63	0.705	56.76	90.095%	7.939	71.009%	0.74844	0.499
PARPFY-01A_vs_PARPFY-11A	126	0.806	88.589	70.309%	12.312	59.236%	0.42924	0.66
PARZRH-01A_vs_PARZRH-10A	31	0.661	36.895	119.016%	5.393	75.517%	0.98857	0.557
PASABD-01A_vs_PASABD-10A	121	0.85	76.809	63.479%	10.171	52.805%	0.3979	0.73
PASADZ-01A_vs_PASADZ-10A	25	0.642	32.049	128.196%	4.431	77.134%	1.11194	0.53
PASCDH-01A_vs_PASCDH-10A	335	0.914	145.904	43.553%	20.358	40.53%	0.19027	0.833
PASDLA-01A_vs_PASDLA-11A	34	0.62	37.862	111.359%	6.301	78.762%	0.99564	0.5
PASVDP-01A_vs_PASVDP-10A	54	0.567	58.921	109.113%	9.355	82.687%	1.02989	0.345
PASWZZ-01A_vs_PASWZZ-10A	64	0.777	56.015	87.523%	7.395	62.95%	0.67412	0.654
PASXNA-01A_vs_PASXNA-11A	14	0.386	22.616	161.543%	3.701	92.525%	1.94518	0.184
PATAFT-01A_vs_PATAFT-10A	136	0.763	91.302	67.134%	12.362	65.518%	0.41213	0.388
PATDVL-01A_vs_PATDVL-10A	18	0.426	27.112	150.622%	4.453	90.896%	1.88372	0.242
PATENH-01A_vs_PATENH-11A	64	0.818	50.782	79.347%	6.483	57.755%	0.58704	0.713
PATFXW-01A_vs_PATFXW-10A	102	0.827	68.869	67.519%	9.11	56.282%	0.45135	0.678
PATFZZ-01A_vs_PATFZZ-10A	123	0.823	79.132	64.335%	10.386	56.915%	0.42344	0.624
PATXEE-01A_vs_PATXEE-10A	360	0.929	150.473	41.798%	19.593	36.975%	0.16797	0.858
PAUEKW-01A_vs_PAUEKW-10A	38	0.847	31.354	82.511%	4.615	53.648%	0.67016	0.806
PAUFVP-01A_vs_PAUFVP-11A	63	0.673	60.08	95.365%	8.171	74.282%	0.83198	0.427
PAUGYZ-01A_vs_PAUGYZ-10A	97	0.843	59.463	61.302%	8.077	53.847%	0.35117	0.699
PAUHAZ-01A_vs_PAUHAZ-10A	98	0.813	64.472	65.788%	9.204	58.211%	0.44276	0.66
PAVCKS-01A_vs_PAVCKS-11A	48	0.762	43.578	90.788%	5.805	64.902%	0.7226	0.638
