Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
AX4912_vs_AX4894	27	57	164	32	0	57	11	13
AX4914_vs_AX4895	13	11	202	9	0	0	14	21
AX4915_vs_AX4895	32	0	194	156	37	0	37	27
AX4916_vs_AX4896	0	0	213	55	12	99	26	0
AX4918_vs_AX4897	15	23	160	65	10	0	3	16
AX4921_vs_AX4898	27	11	205	198	7	0	62	7
AX4923_vs_AX4906	13	5	159	0	58	31	29	1
AX4925_vs_AX4901	39	55	259	39	44	166	47	40
AX4927_vs_AX4905	315	273	204	12	23	62	41	43
AX4928_vs_AQ5174	9	0	203	0	26	17	47	16
AX4930_vs_AX4900	9	0	205	195	30	0	45	15
AX4932_vs_AX4908	0	34	187	0	0	32	66	0
AX4933_vs_AX4909	103	27	57	1	769	0	0	0
AX4934_vs_AX4909	31	7	175	1	48	118	45	0
AX4935_vs_AX4910	1677	0	8	65	38	0	57	0
AX4937_vs_AX4894	8	22	0	80	74	51	27	9
AX4938_vs_AX4896	9	7	1	26	8	28	14	0
AX4940_vs_AX4904	0	28	0	0	49	31	18	3
AX4942_vs_AX4898	8	23	18	33	15	3	5	2
AX4943_vs_AX4898	1	1	13	37	7	0	9	1
AX4944_vs_AX4897	44	71	53	259	0	0	74	120
AX4945_vs_AX4898	3	5	8	8	0	0	1	2
AX4946_vs_AX4895	20	1	12	268	20	127	0	9
AX4947_vs_AX4895	0	0	17	241	90	0	0	22
AX4951_vs_AX4903	57	28	22	48	201	0	316	8
AX4958_vs_AQ5174	7	41	28	100	0	125	0	1
AX4961_vs_AQ5174	12	21	6	109	17	83	0	4
DIAF_vs_BLOOD	165	437	22	47	210	95	60	29
LNMETA_vs_BLOOD	392	896	121	32	265	38	73	114
LN_vs_BLOOD	69	38	56	52	154	0	186	761
OMEN_vs_BLOOD	104	365	40	32	38	0	56	23
PADWRZ-01A_vs_PADWRZ-10A	0	5	0	21	0	8	0	0
PADYZI-01A_vs_PADYZI-10A	3	48	16	14	19	46	20	49
PAEHIP-01A_vs_PAEHIP-10A	13	3	11	23	0	22	17	21
PAJLWM-01A_vs_PAJLWM-11A	10	6	0	22	9	1	17	5
PAJNFP-01A_vs_PAJNFP-11A	11	12	12	0	0	33	10	158
PAKHTL-01A_vs_PAKHTL-11A	0	8	3	21	4	0	9	21
PAKLYZ-01A_vs_PAKLYZ-10A	9	0	9	79	0	48	29	1
PAKTCT-01A_vs_PAKTCT-11A	2	3	7	5	3	17	1	4
PARECB-01A_vs_PARECB-11A	3	5	1	6	0	0	6	0
PAREWI-01A_vs_PAREWI-11A	0	20	0	48	54	0	14	47
PARGRN-01A_vs_PARGRN-10A	10	0	8	66	21	0	0	144
PARIRN-01A_vs_PARIRN-10A	3	0	3	4	9	19	13	12
PARPFY-01A_vs_PARPFY-11A	11	0	13	42	26	11	0	23
PARZRH-01A_vs_PARZRH-10A	0	2	5	5	0	17	1	1
PASABD-01A_vs_PASABD-10A	0	38	7	29	10	0	28	9
PASADZ-01A_vs_PASADZ-10A	2	0	4	9	7	0	0	3
PASCDH-01A_vs_PASCDH-10A	21	0	11	72	51	17	99	64
PASDLA-01A_vs_PASDLA-11A	4	5	1	14	0	0	6	4
PASVDP-01A_vs_PASVDP-10A	3	0	7	19	4	13	7	1
PASWZZ-01A_vs_PASWZZ-10A	5	0	4	0	0	18	14	23
PASXNA-01A_vs_PASXNA-11A	0	3	0	5	2	4	0	0
PATAFT-01A_vs_PATAFT-10A	2	22	10	7	9	73	5	8
PATDVL-01A_vs_PATDVL-10A	0	0	2	3	3	0	6	4
PATENH-01A_vs_PATENH-11A	0	0	4	0	17	10	12	21
PATFXW-01A_vs_PATFXW-10A	0	12	3	9	0	34	22	22
PATFZZ-01A_vs_PATFZZ-10A	13	27	11	15	6	1	24	26
PATXEE-01A_vs_PATXEE-10A	26	0	0	140	90	0	93	11
PAUEKW-01A_vs_PAUEKW-10A	4	0	6	7	0	0	20	1
PAUFVP-01A_vs_PAUFVP-11A	0	18	12	23	2	0	8	0
PAUGYZ-01A_vs_PAUGYZ-10A	4	8	1	28	27	19	5	5
