Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
AX4912_vs_AX4894	1.33E+00	3.16E+00	1.96E+00	2.43E+00	2.14E+00	3.66E+00	8.10E-01	1.12E+00
AX4914_vs_AX4895	8.07E-01	1.03E+00	1.80E+00	1.23E+00	1.55E+00	1.93E+00	8.57E-01	1.37E+00
AX4915_vs_AX4895	1.23E+00	1.77E+00	2.35E+00	3.05E+00	2.54E+00	3.45E+00	1.45E+00	1.20E+00
AX4916_vs_AX4896	6.92E-01	1.67E+00	2.23E+00	3.27E+00	1.88E+00	3.94E+00	1.25E+00	4.85E-01
AX4918_vs_AX4897	9.75E-01	1.64E+00	2.00E+00	2.28E+00	2.14E+00	2.11E+00	4.25E-01	6.56E-01
AX4921_vs_AX4898	1.24E+00	1.96E+00	2.01E+00	3.35E+00	2.06E+00	3.98E+00	1.79E+00	2.07E-01
AX4923_vs_AX4906	1.12E+00	1.89E+00	1.99E+00	5.63E-01	2.71E+00	3.45E+00	1.30E+00	5.37E-01
AX4925_vs_AX4901	2.12E+00	3.70E+00	2.76E+00	3.43E+00	3.94E+00	4.95E+00	1.66E+00	1.73E+00
AX4927_vs_AX4905	3.60E+00	7.75E+00	2.66E+00	3.38E+00	6.24E+00	7.68E+00	1.99E+00	1.37E+00
AX4928_vs_AQ5174	8.65E-01	1.27E+00	2.22E+00	5.32E-01	1.91E+00	2.37E+00	1.28E+00	8.53E-01
AX4930_vs_AX4900	6.85E-01	8.93E-01	2.67E+00	4.22E+00	2.74E+00	4.10E+00	1.54E+00	8.53E-01
AX4932_vs_AX4908	3.55E-01	1.93E+00	1.98E+00	9.41E-01	1.66E+00	2.51E+00	1.34E+00	6.38E-01
AX4933_vs_AX4909	5.44E+00	1.09E+01	4.33E+00	2.54E+00	1.09E+01	4.83E+00	3.04E-01	0.00E+00
AX4934_vs_AX4909	1.25E+00	2.54E+00	2.70E+00	2.32E+00	2.62E+00	3.74E+00	1.52E+00	0.00E+00
AX4935_vs_AX4910	8.07E+00	3.65E+00	3.16E+00	6.54E+00	1.34E+00	5.83E+00	2.99E+00	6.48E-01
AX4937_vs_AX4894	1.01E+00	2.58E+00	1.95E-01	2.64E+00	2.92E+00	3.55E+00	1.05E+00	8.13E-01
AX4938_vs_AX4896	6.33E-01	8.88E-01	1.58E-01	1.56E+00	1.20E+00	1.65E+00	5.86E-01	3.07E-01
AX4940_vs_AX4904	1.20E-01	2.28E+00	2.45E-01	6.31E-01	2.49E+00	2.58E+00	8.68E-01	6.60E-01
AX4942_vs_AX4898	6.40E-01	1.72E+00	8.51E-01	1.62E+00	1.29E+00	1.93E+00	3.69E-01	3.73E-01
AX4943_vs_AX4898	3.52E-01	7.90E-01	6.40E-01	1.09E+00	6.04E-01	1.06E+00	5.19E-01	2.19E-01
AX4944_vs_AX4897	1.53E+00	3.94E+00	1.86E+00	5.22E+00	3.15E+00	5.97E+00	1.87E+00	2.19E+00
AX4945_vs_AX4898	3.91E-01	4.23E-01	3.61E-01	5.86E-01	3.08E-01	4.58E-01	1.89E-01	2.31E-01
AX4946_vs_AX4895	1.19E+00	3.78E+00	1.16E+00	7.52E+00	3.81E+00	7.79E+00	7.13E-01	8.82E-01
AX4947_vs_AX4895	8.21E-01	3.41E+00	1.19E+00	5.47E+00	4.20E+00	6.25E+00	1.44E-01	1.14E+00
AX4951_vs_AX4903	2.09E+00	3.96E+00	1.92E+00	3.89E+00	6.55E+00	7.39E+00	4.29E+00	8.57E-01
AX4958_vs_AQ5174	7.47E-01	3.36E+00	1.11E+00	4.74E+00	2.82E+00	5.70E+00	5.31E-01	3.79E-01
AX4961_vs_AQ5174	8.47E-01	2.32E+00	7.16E-01	3.43E+00	2.83E+00	4.08E+00	3.59E-01	5.15E-01
