NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	128.564	77.092	19.002	57.17	0.614	0.681	60000.0
2	129.894	78.504	19.263	57.554	0.626	0.673	30000.0
3	128.004	77.655	18.992	57.068	0.611	0.682	50000.0
4	130.516	77.874	19.622	57.209	0.609	0.686	50000.0
5	127.709	77.71	19.221	56.878	0.621	0.684	40000.0
6	126.184	77.006	18.87	56.672	0.615	0.686	40000.0
7	127.22	76.464	19.095	56.21	0.603	0.697	20000.0
8	126.384	78.057	18.746	57.271	0.628	0.67	70000.0
9	128.567	77.216	19.203	56.635	0.608	0.694	50000.0
10	128.499	78.666	19.229	57.499	0.63	0.675	70000.0
11	126.624	77.107	19.028	56.419	0.619	0.689	50000.0
12	129.581	77.384	19.206	56.866	0.615	0.681	50000.0
13	122.041	76.719	17.952	56.222	0.613	0.684	70000.0
14	127.268	76.656	18.991	56.517	0.6	0.694	30000.0
15	123.936	77.114	18.529	56.437	0.609	0.691	40000.0
16	128.077	79.015	19.219	57.983	0.638	0.668	40000.0
17	127.819	77.894	19.165	57.295	0.62	0.677	70000.0
18	127.178	77.276	18.831	56.738	0.613	0.683	60000.0
19	128.652	77.502	19.28	56.762	0.616	0.69	50000.0
20	126.235	76.771	18.817	56.731	0.609	0.687	60000.0
21	127.795	77.218	19.116	57.228	0.617	0.686	60000.0
22	124.921	76.867	18.254	56.587	0.609	0.687	50000.0
23	126.38	76.31	18.611	56.108	0.594	0.692	50000.0
24	127.659	77.439	19.042	56.696	0.617	0.693	80000.0
25	128.645	77.918	19.054	57.316	0.62	0.683	50000.0
26	126.725	77.642	19.026	57.176	0.621	0.683	60000.0
27	125.111	76.29	18.492	55.837	0.605	0.697	50000.0
28	126.644	77.141	18.916	57.018	0.613	0.679	50000.0
29	127.036	76.618	19.22	56.875	0.602	0.688	50000.0
30	125.504	75.939	18.429	55.698	0.599	0.697	30000.0
31	127.977	76.46	19.192	56.827	0.612	0.688	50000.0
32	125.76	77.134	18.673	56.484	0.613	0.69	50000.0
33	124.816	77.397	18.887	57.444	0.618	0.679	40000.0
34	126.338	76.52	18.63	56.57	0.601	0.685	70000.0
35	125.147	76.423	18.863	56.566	0.604	0.692	50000.0
