Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	361	0.952	122.711	33.992%	16.905	30.605%	0.12821	0.913
AX4914_vs_AX4895	270	0.959	107.508	39.818%	14.822	28.378%	0.1955	0.943
AX4915_vs_AX4895	483	0.959	142.872	29.58%	21.538	28.908%	0.09719	0.928
AX4916_vs_AX4896	405	0.937	154.169	38.066%	25.53	35.339%	0.14226	0.906
AX4918_vs_AX4897	292	0.951	107.239	36.726%	15.641	31.158%	0.16142	0.924
AX4921_vs_AX4898	517	0.945	177.175	34.27%	26.251	33.06%	0.10719	0.9
AX4923_vs_AX4906	296	0.946	115.649	39.071%	16.483	32.667%	0.17432	0.914
AX4925_vs_AX4901	689	0.972	176.702	25.646%	22.751	23.872%	0.07374	0.94
AX4927_vs_AX4905	973	0.973	239.533	24.618%	31.312	23.068%	0.06552	0.942
AX4928_vs_AQ5174	318	0.97	102.45	32.217%	14.054	24.34%	0.14929	0.956
AX4930_vs_AX4900	499	0.943	202.558	40.593%	27.418	34.005%	0.15638	0.908
AX4932_vs_AX4908	319	0.953	120.265	37.701%	17.877	30.609%	0.1771	0.932
AX4933_vs_AX4909	957	0.872	465.951	48.689%	63.857	49.254%	0.21794	0.674
AX4934_vs_AX4909	425	0.946	154.602	36.377%	21.831	32.497%	0.13478	0.905
AX4935_vs_AX4910	1845	0.979	438.249	23.753%	87.868	21.86%	0.0477	0.975
AX4937_vs_AX4894	271	0.891	117.553	43.377%	16.151	45.555%	0.18653	0.698
AX4938_vs_AX4896	93	0.797	70.721	76.044%	9.915	61.139%	0.51422	0.687
AX4940_vs_AX4904	129	0.725	101.115	78.384%	14.581	68.966%	0.49978	0.48
AX4942_vs_AX4898	107	0.767	77.772	72.684%	11.32	64.19%	0.51834	0.578
AX4943_vs_AX4898	69	0.741	62.858	91.099%	9.067	67.77%	0.65922	0.634
AX4944_vs_AX4897	621	0.928	220.858	35.565%	32.045	37.498%	0.10966	0.837
AX4945_vs_AX4898	27	0.633	33.591	124.411%	4.861	77.838%	1.083	0.518
AX4946_vs_AX4895	457	0.877	207.945	45.502%	34.271	48.578%	0.18433	0.778
AX4947_vs_AX4895	370	0.863	195.66	52.881%	29.202	50.834%	0.24731	0.748
AX4951_vs_AX4903	680	0.955	238.095	35.014%	34.108	29.658%	0.12148	0.928
AX4958_vs_AQ5174	302	0.88	155.137	51.37%	21.038	47.569%	0.25651	0.755
AX4961_vs_AQ5174	252	0.877	133.778	53.087%	17.455	48.08%	0.24354	0.734
DIAF_vs_BLOOD	1065	0.947	312.287	29.323%	43.81	32.254%	0.07261	0.845
LNMETA_vs_BLOOD	1931	0.958	498.833	25.833%	70.984	29.463%	0.05977	0.877
LN_vs_BLOOD	1316	0.816	545.528	41.453%	117.885	57.844%	0.17199	0.64
OMEN_vs_BLOOD	658	0.915	245.071	37.245%	35.23	40.534%	0.11451	0.773
PADWRZ-01A_vs_PADWRZ-10A	34	0.698	35.568	104.612%	5.419	72.414%	0.93043	0.61
PADYZI-01A_vs_PADYZI-10A	215	0.881	107.762	50.122%	13.833	47.363%	0.21094	0.698
PAEHIP-01A_vs_PAEHIP-10A	110	0.844	68.548	62.316%	9.127	53.781%	0.39571	0.704
PAJLWM-01A_vs_PAJLWM-11A	70	0.755	60.823	86.89%	9.407	66.518%	0.66436	0.672
PAJNFP-01A_vs_PAJNFP-11A	236	0.713	171.273	72.573%	27.1	70.206%	0.42281	0.446
PAKHTL-01A_vs_PAKHTL-11A	66	0.635	67.741	102.638%	10.245	77.225%	0.84415	0.443
PAKLYZ-01A_vs_PAKLYZ-10A	175	0.787	121.148	69.227%	17.803	61.758%	0.46309	0.621
PAKTCT-01A_vs_PAKTCT-11A	42	0.63	47.656	113.467%	6.775	77.715%	1.00566	0.456
PARECB-01A_vs_PARECB-11A	21	0.587	28.519	135.805%	4.047	80.94%	1.35269	0.445
PAREWI-01A_vs_PAREWI-11A	183	0.858	99.91	54.596%	13.78	51.462%	0.30566	0.697
PARGRN-01A_vs_PARGRN-10A	249	0.759	153.596	61.685%	27.039	65.178%	0.35807	0.567
PARIRN-01A_vs_PARIRN-10A	63	0.696	58.251	92.462%	8.028	71.805%	0.75213	0.482
PARPFY-01A_vs_PARPFY-11A	126	0.787	90.863	72.113%	12.855	61.849%	0.4514	0.626
PARZRH-01A_vs_PARZRH-10A	31	0.64	38.683	124.784%	5.535	77.506%	1.07427	0.539
PASABD-01A_vs_PASABD-10A	121	0.834	79.159	65.421%	10.634	55.209%	0.42178	0.696
PASADZ-01A_vs_PASADZ-10A	25	0.615	32.915	131.66%	4.544	79.101%	1.16127	0.484
PASCDH-01A_vs_PASCDH-10A	335	0.909	155.471	46.409%	20.989	41.786%	0.20097	0.822
PASDLA-01A_vs_PASDLA-11A	34	0.602	39.906	117.371%	6.415	80.188%	1.05053	0.477
PASVDP-01A_vs_PASVDP-10A	54	0.545	60.731	112.465%	9.5	83.969%	1.06317	0.289
PASWZZ-01A_vs_PASWZZ-10A	64	0.714	58.698	91.716%	8.228	70.041%	0.73353	0.538
PASXNA-01A_vs_PASXNA-11A	14	0.365	22.965	164.036%	3.74	93.5%	2.0172	0.146
PATAFT-01A_vs_PATAFT-10A	136	0.759	90.906	66.843%	12.48	66.144%	0.41851	0.386
PATDVL-01A_vs_PATDVL-10A	18	0.408	27.298	151.656%	4.577	93.428%	1.85771	0.241
PATENH-01A_vs_PATENH-11A	64	0.768	54.408	85.012%	7.201	64.152%	0.63504	0.621
PATFXW-01A_vs_PATFXW-10A	102	0.818	70.916	69.525%	9.311	57.524%	0.49604	0.662
PATFZZ-01A_vs_PATFZZ-10A	123	0.807	83.028	67.502%	10.814	59.26%	0.44637	0.586
PATXEE-01A_vs_PATXEE-10A	360	0.904	173.799	48.278%	22.728	42.891%	0.20083	0.805
PAUEKW-01A_vs_PAUEKW-10A	38	0.837	32.01	84.237%	4.757	55.299%	0.75006	0.793
PAUFVP-01A_vs_PAUFVP-11A	63	0.642	63.552	100.876%	8.481	77.1%	0.89106	0.352
PAUGYZ-01A_vs_PAUGYZ-10A	97	0.828	61.996	63.913%	8.44	56.267%	0.37404	0.67
PAUHAZ-01A_vs_PAUHAZ-10A	98	0.8	66.866	68.231%	9.492	60.033%	0.46323	0.632
PAVCKS-01A_vs_PAVCKS-11A	48	0.721	47.348	98.642%	6.223	69.575%	0.80919	0.571
PAVYKD-01A_vs_PAVYKD-10A	38	0.699	41.21	108.447%	5.687	72.225%	0.94763	0.592
PAWFBL-01A_vs_PAWFBL-11A	35	0.69	37.432	106.949%	5.099	72.843%	0.86782	0.557
PAWFWK-01A_vs_PAWFWK-10A	98	0.76	84.227	85.946%	11.54	65.332%	0.59649	0.625
SJBT030128_D1_vs_SJBT030128_G1	62	0.784	48.803	78.715%	6.514	62.109%	0.58141	0.628
SJBT030255_D1_vs_SJBT030255_G1	113	0.756	81.895	72.473%	10.897	66.195%	0.54832	0.448
SJBT030581_D1_vs_SJBT030581_G1	14	0.411	22.778	162.7%	3.415	91.27%	1.82191	0.18
SJBT030997_D1_vs_SJBT030997_G1	107	0.789	83.065	77.631%	11.444	61.435%	0.5365	0.653
SJBT031235_D1_vs_SJBT031235_G1	121	0.918	71.995	59.5%	9.943	39.964%	0.38815	0.89
