patient,sample,variantcaller,vcf
SJ014754,SJMRT014754_D1_vs_SJMRT014754_G1,manta,./variant_calling/manta/SJMRT014754_D1_vs_SJMRT014754_G1/SJMRT014754_D1_vs_SJMRT014754_G1.manta.diploid_sv.vcf.gz
SJ014754,SJMRT014754_D1_vs_SJMRT014754_G1,manta,./variant_calling/manta/SJMRT014754_D1_vs_SJMRT014754_G1/SJMRT014754_D1_vs_SJMRT014754_G1.manta.somatic_sv.vcf.gz
SJ014754,SJMRT014754_D1_vs_SJMRT014754_G1,mutect2,./variant_calling/mutect2/SJMRT014754_D1_vs_SJMRT014754_G1/SJMRT014754_D1_vs_SJMRT014754_G1.mutect2.filtered.vcf.gz
SJ014754,SJMRT014754_D1_vs_SJMRT014754_G1,strelka,./variant_calling/strelka/SJMRT014754_D1_vs_SJMRT014754_G1/SJMRT014754_D1_vs_SJMRT014754_G1.strelka.somatic_indels.vcf.gz
SJ014754,SJMRT014754_D1_vs_SJMRT014754_G1,strelka,./variant_calling/strelka/SJMRT014754_D1_vs_SJMRT014754_G1/SJMRT014754_D1_vs_SJMRT014754_G1.strelka.somatic_snvs.vcf.gz
SJ014754,SJMRT014754_G1,haplotypecaller,./variant_calling/haplotypecaller/SJMRT014754_G1/SJMRT014754_G1.haplotypecaller.filtered.vcf.gz
SJ014754,SJMRT014754_G1,manta,./variant_calling/manta/SJMRT014754_G1/SJMRT014754_G1.manta.diploid_sv.vcf.gz
SJ014754,SJMRT014754_G1,strelka,./variant_calling/strelka/SJMRT014754_G1/SJMRT014754_G1.strelka.variants.vcf.gz
SJ015723,SJMRT015723_D1_vs_SJMRT015723_G1,manta,./variant_calling/manta/SJMRT015723_D1_vs_SJMRT015723_G1/SJMRT015723_D1_vs_SJMRT015723_G1.manta.diploid_sv.vcf.gz
SJ015723,SJMRT015723_D1_vs_SJMRT015723_G1,manta,./variant_calling/manta/SJMRT015723_D1_vs_SJMRT015723_G1/SJMRT015723_D1_vs_SJMRT015723_G1.manta.somatic_sv.vcf.gz
SJ015723,SJMRT015723_D1_vs_SJMRT015723_G1,mutect2,./variant_calling/mutect2/SJMRT015723_D1_vs_SJMRT015723_G1/SJMRT015723_D1_vs_SJMRT015723_G1.mutect2.filtered.vcf.gz
SJ015723,SJMRT015723_D1_vs_SJMRT015723_G1,strelka,./variant_calling/strelka/SJMRT015723_D1_vs_SJMRT015723_G1/SJMRT015723_D1_vs_SJMRT015723_G1.strelka.somatic_indels.vcf.gz
SJ015723,SJMRT015723_D1_vs_SJMRT015723_G1,strelka,./variant_calling/strelka/SJMRT015723_D1_vs_SJMRT015723_G1/SJMRT015723_D1_vs_SJMRT015723_G1.strelka.somatic_snvs.vcf.gz
SJ015723,SJMRT015723_G1,haplotypecaller,./variant_calling/haplotypecaller/SJMRT015723_G1/SJMRT015723_G1.haplotypecaller.filtered.vcf.gz
SJ015723,SJMRT015723_G1,manta,./variant_calling/manta/SJMRT015723_G1/SJMRT015723_G1.manta.diploid_sv.vcf.gz
SJ015723,SJMRT015723_G1,strelka,./variant_calling/strelka/SJMRT015723_G1/SJMRT015723_G1.strelka.variants.vcf.gz
SJ030128,SJBT030128_D1_vs_SJBT030128_G1,manta,./variant_calling/manta/SJBT030128_D1_vs_SJBT030128_G1/SJBT030128_D1_vs_SJBT030128_G1.manta.diploid_sv.vcf.gz
SJ030128,SJBT030128_D1_vs_SJBT030128_G1,manta,./variant_calling/manta/SJBT030128_D1_vs_SJBT030128_G1/SJBT030128_D1_vs_SJBT030128_G1.manta.somatic_sv.vcf.gz
SJ030128,SJBT030128_D1_vs_SJBT030128_G1,mutect2,./variant_calling/mutect2/SJBT030128_D1_vs_SJBT030128_G1/SJBT030128_D1_vs_SJBT030128_G1.mutect2.filtered.vcf.gz
SJ030128,SJBT030128_D1_vs_SJBT030128_G1,strelka,./variant_calling/strelka/SJBT030128_D1_vs_SJBT030128_G1/SJBT030128_D1_vs_SJBT030128_G1.strelka.somatic_indels.vcf.gz
SJ030128,SJBT030128_D1_vs_SJBT030128_G1,strelka,./variant_calling/strelka/SJBT030128_D1_vs_SJBT030128_G1/SJBT030128_D1_vs_SJBT030128_G1.strelka.somatic_snvs.vcf.gz
SJ030128,SJBT030128_G1,haplotypecaller,./variant_calling/haplotypecaller/SJBT030128_G1/SJBT030128_G1.haplotypecaller.filtered.vcf.gz
SJ030128,SJBT030128_G1,manta,./variant_calling/manta/SJBT030128_G1/SJBT030128_G1.manta.diploid_sv.vcf.gz
SJ030128,SJBT030128_G1,strelka,./variant_calling/strelka/SJBT030128_G1/SJBT030128_G1.strelka.variants.vcf.gz
SJ030255,SJBT030255_D1_vs_SJBT030255_G1,manta,./variant_calling/manta/SJBT030255_D1_vs_SJBT030255_G1/SJBT030255_D1_vs_SJBT030255_G1.manta.diploid_sv.vcf.gz
SJ030255,SJBT030255_D1_vs_SJBT030255_G1,manta,./variant_calling/manta/SJBT030255_D1_vs_SJBT030255_G1/SJBT030255_D1_vs_SJBT030255_G1.manta.somatic_sv.vcf.gz
SJ030255,SJBT030255_D1_vs_SJBT030255_G1,mutect2,./variant_calling/mutect2/SJBT030255_D1_vs_SJBT030255_G1/SJBT030255_D1_vs_SJBT030255_G1.mutect2.filtered.vcf.gz
