Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Exon region start (bp)	Exon region end (bp)	CDS start	CDS end	Exon stable ID	Exon rank in transcript	Transcript start (bp)	Transcript end (bp)	5' UTR start	5' UTR end	3' UTR start	3' UTR end	Transcription start site (TSS)	Gene start (bp)	Gene end (bp)	cDNA coding start	cDNA coding end	Genomic coding start	Genomic coding end
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	10960932	10961174			ENSE00003814450	1	10960932	11062204	10960932	10961174			10960932	10960824	11079426				
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	10984124	10984373	1	222	ENSE00002858683	2	10960932	11062204	10984124	10984151			10960932	10960824	11079426	272	493	10984152	10984373
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	10985273	10985405	223	355	ENSE00003618181	3	10960932	11062204					10960932	10960824	11079426	494	626	10985273	10985405
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	10986189	10986593	356	760	ENSE00003525604	4	10960932	11062204					10960932	10960824	11079426	627	1031	10986189	10986593
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	10986905	10987003	761	859	ENSE00003604554	5	10960932	11062204					10960932	10960824	11079426	1032	1130	10986905	10987003
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	10987666	10987924	860	1118	ENSE00003531833	6	10960932	11062204					10960932	10960824	11079426	1131	1389	10987666	10987924
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	10989317	10989443	1119	1245	ENSE00003670957	7	10960932	11062204					10960932	10960824	11079426	1390	1516	10989317	10989443
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	10991150	10991323	1246	1419	ENSE00003607688	8	10960932	11062204					10960932	10960824	11079426	1517	1690	10991150	10991323
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	10994828	10995001	1420	1593	ENSE00003546739	9	10960932	11062204					10960932	10960824	11079426	1691	1864	10994828	10995001
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	10996213	10996380	1594	1761	ENSE00003527768	10	10960932	11062204					10960932	10960824	11079426	1865	2032	10996213	10996380
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	10996494	10996544	1762	1812	ENSE00003667937	11	10960932	11062204					10960932	10960824	11079426	2033	2083	10996494	10996544
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11003029	11003159	1813	1943	ENSE00003667107	12	10960932	11062204					10960932	10960824	11079426	2084	2214	11003029	11003159
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11003340	11003397	1944	2001	ENSE00003539754	13	10960932	11062204					10960932	10960824	11079426	2215	2272	11003340	11003397
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11007902	11008023	2002	2123	ENSE00003581372	14	10960932	11062204					10960932	10960824	11079426	2273	2394	11007902	11008023
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11010381	11010531	2124	2274	ENSE00003530860	15	10960932	11062204					10960932	10960824	11079426	2395	2545	11010381	11010531
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11012949	11013112	2275	2438	ENSE00003654082	16	10960932	11062204					10960932	10960824	11079426	2546	2709	11012949	11013112
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11018957	11019023	2439	2505	ENSE00003474879	17	10960932	11062204					10960932	10960824	11079426	2710	2776	11018957	11019023
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11019591	11019701	2506	2616	ENSE00003477043	18	10960932	11062204					10960932	10960824	11079426	2777	2887	11019591	11019701
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11021725	11021967	2617	2859	ENSE00003540089	19	10960932	11062204					10960932	10960824	11079426	2888	3130	11021725	11021967
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11023518	11023631	2860	2973	ENSE00003484961	20	10960932	11062204					10960932	10960824	11079426	3131	3244	11023518	11023631
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11024331	11024438	2974	3081	ENSE00003553172	21	10960932	11062204					10960932	10960824	11079426	3245	3352	11024331	11024438
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11025422	11025508	3082	3168	ENSE00003692983	22	10960932	11062204					10960932	10960824	11079426	3353	3439	11025422	11025508
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11026300	11026346	3169	3215	ENSE00003604518	23	10960932	11062204					10960932	10960824	11079426	3440	3486	11026300	11026346
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11027784	11027950	3216	3382	ENSE00003459233	24	10960932	11062204					10960932	10960824	11079426	3487	3653	11027784	11027950
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11030730	11030893	3383	3546	ENSE00003676000	25	10960932	11062204					10960932	10960824	11079426	3654	3817	11030730	11030893
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11033290	11033517	3547	3774	ENSE00003655405	26	10960932	11062204					10960932	10960824	11079426	3818	4045	11033290	11033517
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11034123	11034200	3775	3852	ENSE00003703701	27	10960932	11062204					10960932	10960824	11079426	4046	4123	11034123	11034200
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11034914	11035132	3853	4071	ENSE00003708931	28	10960932	11062204					10960932	10960824	11079426	4124	4342	11034914	11035132
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11039458	11039553	4072	4167	ENSE00003707782	29	10960932	11062204					10960932	10960824	11079426	4343	4438	11039458	11039553
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11041298	11041560	4168	4430	ENSE00003707185	30	10960932	11062204					10960932	10960824	11079426	4439	4701	11041298	11041560
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11058255	11058363	4431	4539	ENSE00003468652	31	10960932	11062204					10960932	10960824	11079426	4702	4810	11058255	11058363
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11058788	11058889	4540	4641	ENSE00003687872	32	10960932	11062204					10960932	10960824	11079426	4811	4912	11058788	11058889
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11059753	11059885	4642	4774	ENSE00003582123	33	10960932	11062204					10960932	10960824	11079426	4913	5045	11059753	11059885
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11060045	11060187	4775	4917	ENSE00003694052	34	10960932	11062204					10960932	10960824	11079426	5046	5188	11060045	11060187
ENSG00000127616	ENSG00000127616.23	ENST00000643549	ENST00000643549.1	11061784	11062204	4918	4950	ENSE00003829775	35	10960932	11062204			11061817	11062204	10960932	10960824	11079426	5189	5221	11061784	11061816
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	10960932	10961174			ENSE00003814450	1	10960932	11062279	10960932	10961174			10960932	10960824	11079426				
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	10984124	10984373	1	222	ENSE00002858683	2	10960932	11062279	10984124	10984151			10960932	10960824	11079426	272	493	10984152	10984373
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	10985273	10985405	223	355	ENSE00003618181	3	10960932	11062279					10960932	10960824	11079426	494	626	10985273	10985405
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	10986189	10986593	356	760	ENSE00003525604	4	10960932	11062279					10960932	10960824	11079426	627	1031	10986189	10986593
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	10986905	10987003	761	859	ENSE00003604554	5	10960932	11062279					10960932	10960824	11079426	1032	1130	10986905	10987003
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	10987666	10987924	860	1118	ENSE00003531833	6	10960932	11062279					10960932	10960824	11079426	1131	1389	10987666	10987924
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	10989317	10989443	1119	1245	ENSE00003670957	7	10960932	11062279					10960932	10960824	11079426	1390	1516	10989317	10989443
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	10991150	10991323	1246	1419	ENSE00003607688	8	10960932	11062279					10960932	10960824	11079426	1517	1690	10991150	10991323
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	10994828	10995001	1420	1593	ENSE00003546739	9	10960932	11062279					10960932	10960824	11079426	1691	1864	10994828	10995001
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	10996213	10996380	1594	1761	ENSE00003527768	10	10960932	11062279					10960932	10960824	11079426	1865	2032	10996213	10996380
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	10996494	10996544	1762	1812	ENSE00003667937	11	10960932	11062279					10960932	10960824	11079426	2033	2083	10996494	10996544
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11003029	11003159	1813	1943	ENSE00003667107	12	10960932	11062279					10960932	10960824	11079426	2084	2214	11003029	11003159
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11003340	11003397	1944	2001	ENSE00003539754	13	10960932	11062279					10960932	10960824	11079426	2215	2272	11003340	11003397
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11007902	11008023	2002	2123	ENSE00003581372	14	10960932	11062279					10960932	10960824	11079426	2273	2394	11007902	11008023
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11010381	11010531	2124	2274	ENSE00003530860	15	10960932	11062279					10960932	10960824	11079426	2395	2545	11010381	11010531
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11012949	11013112	2275	2438	ENSE00003654082	16	10960932	11062279					10960932	10960824	11079426	2546	2709	11012949	11013112
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11018957	11019023	2439	2505	ENSE00003474879	17	10960932	11062279					10960932	10960824	11079426	2710	2776	11018957	11019023
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11019591	11019701	2506	2616	ENSE00003477043	18	10960932	11062279					10960932	10960824	11079426	2777	2887	11019591	11019701
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11021725	11021967	2617	2859	ENSE00003540089	19	10960932	11062279					10960932	10960824	11079426	2888	3130	11021725	11021967
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11023518	11023631	2860	2973	ENSE00003484961	20	10960932	11062279					10960932	10960824	11079426	3131	3244	11023518	11023631
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11024331	11024438	2974	3081	ENSE00003553172	21	10960932	11062279					10960932	10960824	11079426	3245	3352	11024331	11024438
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11025422	11025508	3082	3168	ENSE00003692983	22	10960932	11062279					10960932	10960824	11079426	3353	3439	11025422	11025508
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11026300	11026346	3169	3215	ENSE00003604518	23	10960932	11062279					10960932	10960824	11079426	3440	3486	11026300	11026346
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11027784	11027950	3216	3382	ENSE00003459233	24	10960932	11062279					10960932	10960824	11079426	3487	3653	11027784	11027950
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11030730	11030893	3383	3546	ENSE00003676000	25	10960932	11062279					10960932	10960824	11079426	3654	3817	11030730	11030893
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11033290	11033517	3547	3774	ENSE00003655405	26	10960932	11062279					10960932	10960824	11079426	3818	4045	11033290	11033517
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11034123	11034200	3775	3852	ENSE00003703701	27	10960932	11062279					10960932	10960824	11079426	4046	4123	11034123	11034200
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11034914	11035132	3853	4071	ENSE00003708931	28	10960932	11062279					10960932	10960824	11079426	4124	4342	11034914	11035132
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11039458	11039553	4072	4167	ENSE00003707782	29	10960932	11062279					10960932	10960824	11079426	4343	4438	11039458	11039553
ENSG00000127616	ENSG00000127616.23	ENST00000642726	ENST00000642726.1	11058255	11058363	4422	4530	ENSE00003468652	31	10960932	11062279					10960932	10960824	11079426	4693	4801	11058255	11058363
